wiI7pd,dealership_name,manual_label,review_id,predicted_sentiment,predicted_label
"Suzuki Sethi Motors, proud to be among the leading authorized 3S dealerships of Pak Suzuki. We provide complete set of automobile solutions under one roof.
Car Dealership ? Automotive Repair Shop ? Automotive Parts Store",Suzuki Sethi Motors (Town Morr),1.0,1,0.8136729,1
"I have experience in changing oil, plus I have to change the radiator cap and refil its coolant . services are good but they have very few employees thats why they done these thing in 2 hours",Suzuki Sethi Motors (Town Morr),1.0,2,0.5433006,1
A good experience of maintenance job of my car. Comfortable sitting area. Courtesy n discipline.,Suzuki Sethi Motors (Town Morr),1.0,3,0.9235461,1
"Done AC service from sethi motors, staff is friendly and guide you. rates are on higher side but atleast have peace of mind that parts would be original if require replacement.",Suzuki Sethi Motors (Town Morr),1.0,4,0.7379329,1
"This is an expensive place with no customer care. They have two persons to deal all the anger from the customers one is Mr.Danish slim guy AKA chota Danish and their CRO Wasif. Technicians and technical staff will ask you to pay them separately for creating mess with your vehicle. I have attached photos along with the review. I went there to replace the air conditioner due to a faulty compressor. It cost me 40k + 2k other part that they replaced they have team of 5 to 6 persons who deal with air conditioner they took whole day to install new unit and end of the day when they handed back my car its generator was not working it cost me another 4k to get a new battery becuse they forgot to adjust the generator. As new generator/Alternator was installed. This place is not recommended if you are not half mechanic. You will end up paying for their negligence. If you have a brand new car then it is fine to go their as the team is not expert and is very sharp at making excuses to get away with their own negligence. They use to have good people like Naveed, Zahid Khan but now they don't have expert professionals. Their two forman Asif and zeeshan are seniors but they'll be just sitting in the office all the time and if you ask to look at something they'll never move their butt. I am going their for last 5 years and two vehicles were maintained by them i have experienced several second visits, once they forgot to tight the tappet cover,  with my wagon r they were badly failed to diagnose the bearing issue. Like I said before if you have knowledge about your machine then it will be fine to go there. But avoid going there if you're not good enough to understand the mechanical of your car. Plus long wait is guaranteed.",Suzuki Sethi Motors (Town Morr),0.0,5,0.08854645,0
Personalized services and professional staff. Expanding their work area now adays. More space will be available,Suzuki Sethi Motors (Town Morr),1.0,6,0.6307364,1
"Went there for Oil Change
I found Best Service and honest staff",Suzuki Sethi Motors (Town Morr),1.0,7,0.93445605,1
Gud and quick service.it was my first experience with suzuki sethi motore.the staff was vigilant and professional,Suzuki Sethi Motors (Town Morr),1.0,8,0.5595984,1
This is not best service and not clear a complain then better mini motor best service in providing,Suzuki Sethi Motors (Town Morr),0.0,9,0.4093475,0
"Their services are good
What I guess is they try to increase you bills",Suzuki Sethi Motors (Town Morr),1.0,10,0.8879817,1
Very good service  centre  I visited  there bench of time,Suzuki Sethi Motors (Town Morr),1.0,11,0.96412414,1
Too busy workshop but good service overall,Suzuki Sethi Motors (Town Morr),0.0,12,0.64333594,1
"Bought a car from them.  Not impressed at all from their service.  I have to push to get my work done.  Staff was indifferent towards client needs and perhaps more interested in tips.
I developed a problem in one of my car and i visited them they gave me an estimate of 35000 which later on i got done in only rs 2400.",Suzuki Sethi Motors (Town Morr),0.0,13,0.3013074,0
"I went here for a repair for my car. The repair work itself was fine but the customer support staff were not professional and made me wait for an eternity whether it be getting an estimate for the damage to after the work was done and the invoice was to be paid. All in all it was an ok experience due to the quality of the repair work. Other than that, the customer support staff need to be professional and better trained on how to deal with customers.",Suzuki Sethi Motors (Town Morr),0.0,14,0.30249727,0
Ok facility. Work done quickly at a decent price. Would have been more happy if a computer check up was done with 1st tuning,Suzuki Sethi Motors (Town Morr),1.0,15,0.8067743,1
"The place of professional and technical people, taking care of every customer.",Suzuki Sethi Motors (Town Morr),1.0,16,0.36310425,0
Amazing service and very well organised.  . Being a woman I was catered to very well . .and without any fraud . Excellent,Suzuki Sethi Motors (Town Morr),1.0,17,0.8712146,1
"Attitude of staff is lethargic like a government office. My car is insured by Bank Alfalah. It needed  minor denting and paint work. Only bumpers and a fender was to be painted without any repair. They took 6 days for it and the work was not satisfactory.  I had to ask again and again for compound and polish of bumpers. They were least interested and did it after a lot of excuses. The car was not properly cleaned.
I would not recommend it.",Suzuki Sethi Motors (Town Morr),0.0,18,0.26624128,0
Decent experience. Hospitable owners and staff. Do feel that Suzuki Toyota and Honda run a mafia of sorts which hikes prices and provides limited features on vehicles.,Suzuki Sethi Motors (Town Morr),1.0,19,0.45600423,0
Good but expensive service,Suzuki Sethi Motors (Town Morr),0.0,20,0.7379024,1
Its a dealership cum service point for all types of Suzuki Vehicles. Much busy place on Saturdays.,Suzuki Sethi Motors (Town Morr),1.0,21,0.4369589,0
Best workshop than other suzuki shops,Suzuki Sethi Motors (Town Morr),1.0,22,0.85568374,1
They have everything under one roof but service needs to be more quick.,Suzuki Sethi Motors (Town Morr),1.0,23,0.834732,1
Their customer handling is very poor.  One has to track and follow again and again to get work done.  Maintenance staff is also very inexperienced.  Not recommended at all.,Suzuki Sethi Motors (Town Morr),0.0,24,0.24260546,0
"Good place with reasonable prices. However, my car has always been serviced by this place, and yet I found the battery water running dry and cabin filter requiring replacement when these guys should've recommended these during routine services.",Suzuki Sethi Motors (Town Morr),1.0,25,0.5347517,1
They deal with the sale and services of various brands of Suzuki cars. Courteous staff in good environment,Suzuki Sethi Motors (Town Morr),1.0,26,0.89648217,1
One can buy all cars and motorcycles of Suzuki and after sale service here.,Suzuki Sethi Motors (Town Morr),1.0,27,0.30172038,0
"I'm disappointed with services. Last time I've a bad experience of unsatisfied services as the worker change oil without even showing me and this time other worker has damage air filter intentionally and I was seeing that. Just to sale the material disposal of good filter was not a good idea.
Sorry but that was true and I'll not visit this place anymore",Suzuki Sethi Motors (Town Morr),0.0,28,0.2457949,0
"Normal service. Salesman was not that courteous in his tone and showed little or no interest in making a prospective client.

The owners need to check on their services and such kind of employees which let them down.

Other showrooms contacted were more convincing and courteous.

The future is all about good service now and the owners need to open their eyes.",Suzuki Sethi Motors (Town Morr),1.0,29,0.472343,0
Its a Suzuki workshop and sale center. All type of services are available here regarding your car.,Suzuki Sethi Motors (Town Morr),1.0,30,0.51817435,1
Good and big place. Very good service,Suzuki Sethi Motors (Town Morr),1.0,31,0.9315935,1
"They are very good for repair and maintenance of Suzuki vehicles. Their waiting area is big and well maintained so you can wait while work is being done. The only problem is that if it is insurance work, they take too many days. Rest I was satisfied with the work. Payments can he made via credit cards. The shop closed at 6 p.m. so plan your visit accordingly.",Suzuki Sethi Motors (Town Morr),1.0,32,0.47007382,0
"Useless customer service and they will never pick your call no matter how much u try. They ask too much On Pay money compared to other showrooms. They were asking Rs.150,000 On Pay on Suzuki Swift Automatic while all other showrooms kept their rate at Rs.100,000 plus minus.",Suzuki Sethi Motors (Town Morr),0.0,33,0.33372787,0
I have been asking for gear oil since i purchased my car in 2020 but they don't have any and i don't know when will I be able to get it. Service is ok btw.,Suzuki Sethi Motors (Town Morr),0.0,34,0.52039593,1
"Customer service is pretty good.  This is my 1st visit can't comment about the maintenanc services. The mechanic I encountered with was greedy, one has to please him (of course by giving money) he ensured best performance of the vehicle let's c! His professional conduct makes every thing dubious! One cannot trust them but their r no other options unfortunately",Suzuki Sethi Motors (Town Morr),1.0,35,0.3870613,0
"I bought wagon r 1 week ago from this place the person dealing us was Sir Waqar butt
Very excellent service + excellent customer satisfaction . I will give sethi motors 9/10 and waqar butt 10/10 . He deals us in very excellent way like his own family .",Suzuki Sethi Motors (Town Morr),,36,0.8703068,1
"A very well set up suzuki dealership with proper competent workforce. With the latest equipment and proper handling, car has never had any trouble. Its been 5 years and every time I get my car maintained from it. A bit expensive if compared to market but the excess price is compensated since no other fault appears while repairing any existing one.",Suzuki Sethi Motors (Town Morr),1.0,38,0.33270368,0
"Excellent services, i went there for my AC issue, they cooperated with me very efficiently. Team is highly efficient. They guide me properly and helped me in professional way.",Suzuki Sethi Motors (Town Morr),1.0,39,0.64061123,1
Not very good customer service. Extremely rude behaviours. Not recommended at all.,Suzuki Sethi Motors (Town Morr),0.0,40,0.21759254,0
Best for mechanical work But Spare parts are very expensive. I don't know this price variation is because of genuine or local parts or any other reason behind this. Anyhow staff is very good at all.,Suzuki Sethi Motors (Town Morr),1.0,41,0.40803215,0
"Arrogant dealers,,there are alot of condition for car booking,,for example full payment in advance,,sethi motors also collects registration charges in advance,,ransome ly rahy",Suzuki Sethi Motors (Town Morr),0.0,42,0.6449737,1
"Worst authorized dealership. They don't give proper attention to customer and say we need half hour or more to inspect you car reason is more customer, no availability of labor e.t.c.",Suzuki Sethi Motors (Town Morr),0.0,43,0.31064546,0
"They offer good washing service, car nut bolt tightening and the opinion was vague, one technician said you must have 6 to 7 repairing work but the final technician said that don't listen anyone. Your car is OK. Anyways a good recommendation by my father",Suzuki Sethi Motors (Town Morr),1.0,44,0.59119445,1
