wiI7pd,dealership_name,manual_label,review_id,predicted_sentiment,predicted_label
Its very good workshop and 3S dealership one of the largest available in lahore for Honda.,HONDA Gateway,1.0,1,0.9327658,1
A better place for solution of all problems regarding your  Honda car under single roof!,HONDA Gateway,1.0,2,0.6665685,1
Honda should cancel their 3S dealership bakwas services fraud,HONDA Gateway,0.0,3,0.2917835,0
Not providing Honda spare parts to outsiders except to the one who's getting it's work done over the,HONDA Gateway,0.0,4,0.27986598,0
3rd Class Services,HONDA Gateway,0.0,5,0.30653328,0
Fraud Honda Gateway. Ruin the name of Honda too,HONDA Gateway,0.0,6,0.29167953,0
Excellent service standards and welcome reception. Good brand with open heart ? services.,HONDA Gateway,1.0,7,0.9359878,1
Need improvement,HONDA Gateway,0.0,8,0.31268695,0
"Good staff, cooperative people",HONDA Gateway,1.0,9,0.9563646,1
Good service but at a high price.,HONDA Gateway,0.0,10,0.893146,1
Pretty average service,HONDA Gateway,0.0,11,0.69252926,1
"Good spot for honda cars for sales and required repairs.
However, they need to really work hard on customer services for the customers who want to get some repair work done there. Their service is not at par by any MEANS.....",HONDA Gateway,1.0,12,0.39217493,0
Went there for oil filter of honda city. They declined to sell it.. Said come with car otherwise not available.,HONDA Gateway,0.0,14,0.24674828,0
just ok average work too muxh expensive,HONDA Gateway,0.0,15,0.28970337,0
"Staff isnÂt cooperative at all.
You wonÂt feel happy & satisfied at this place dealing",HONDA Gateway,0.0,16,0.80260015,1
Good service,HONDA Gateway,1.0,18,0.95621544,1
"They know exactly what to do with cars, a bit expensive but worth it.
100% recommended.",HONDA Gateway,1.0,19,0.29666352,0
Very cheep rate,HONDA Gateway,1.0,20,0.6703526,1
Excellent 3s dealership with good work shop and paint shop.,HONDA Gateway,1.0,21,0.9657386,1
Good but very rushy,HONDA Gateway,0.0,23,0.8973799,1
Good Showroom,HONDA Gateway,1.0,24,0.95696723,1
Space for parking or placing of car is not enough. You have to move your car every time. Also Surveyors attached there are very incompetent and adds unnecessary complications to make you suffer and pay higher only.,HONDA Gateway,0.0,25,0.28500497,0
"Good services, courteous staff",HONDA Gateway,1.0,26,0.9548079,1
Thank you for the timely delivery as was committed. Loving the ride,HONDA Gateway,1.0,27,0.92804605,1
"Honda Service center, Recently I have to repair my car but unfortunately they don't have required spare part. So moving forward to need keep good stock qty in hand.",HONDA Gateway,0.0,28,0.33678016,0
"I went to the Asia house today as well but my issue hasn't been resolved. Simply pathetic service overall all from your dealership and honda. Full payment made since August and no date of delivery yet and again and again subjected to price hikes. The management is not only misleading but is bloody rude!!!! There is no clear communication between teams and clients are stuck in thin air. I would never ever ever go through your dealership or advice anyone to do so, unless someone wants to open a can of worms!",HONDA Gateway,0.0,30,0.21397948,0
Insurance claim services is still bad,HONDA Gateway,0.0,31,0.13409364,0
Very cooperative environment,HONDA Gateway,1.0,32,0.69044304,1
Staff supportive but they try to save company not consumer. Consumer or customer is not their priority,HONDA Gateway,0.0,33,0.7321721,1
Nice and cooperative staff with quick services..,HONDA Gateway,1.0,34,0.9319104,1
Very nice staff and service.,HONDA Gateway,1.0,35,0.9684767,1
Patience because the staff is occupied with too much work,HONDA Gateway,0.0,38,0.41008258,0
Situated at Multan road opposite to eaden value homes... best car prizes aare there,HONDA Gateway,,39,0.6382501,1
Worse experience in life. They never respond to call a single time in day. Look at SS below. This is number they had given in booking message to contact about Car delivery. Car dispatch date is gone and thereÂs no delivery after 70 days of 100% Balance payment. Worse experience and IÂll go to court now.,HONDA Gateway,0.0,41,0.22264296,0
It was very warm and nice as the staff and the work was great,HONDA Gateway,1.0,42,0.95362693,1
"Unprofessional staff, Miss commitments again again and again. Unprofessional Attitude.
I suggest no any body visit this show room due my experience is very poor for purchase honda city 1.5",HONDA Gateway,0.0,43,0.22811073,0
Soo expensive ? Â,HONDA Gateway,0.0,44,0.17905127,0
Customer dealing is very poor zero empathy for clients. They won't reissue my delay delivery cheque after my father passed away been 4 months and still going... service center is over priced and not worth going they didn't satisfy me during inspection not recommended (i asked to check my new car is showing some electric errors the electrician put his hand on the fuse box and got the revelation that everything is fine)... not a fan of honda anymore... only person worth meeting is the manager,HONDA Gateway,0.0,46,0.2734341,0
"Qualified Staff, healthy environment",HONDA Gateway,1.0,47,0.9159632,1
Good environment...proper handling of cars for routinely maintenance...separate waiting area... customer friendly,HONDA Gateway,1.0,49,0.8100546,1
HITECH workshop,HONDA Gateway,1.0,50,0.31970388,0
Car and bikes is available hare,HONDA Gateway,,51,0.8557859,1
Excellent Services. Mr. Manazar from Sales is very supportive and cooperative.,HONDA Gateway,1.0,53,0.95842755,1
Efficient & co-operative staff...,HONDA Gateway,1.0,55,0.31511304,0
Everything at one place but getting expensive day by day,HONDA Gateway,1.0,57,0.17093778,0
Have a good experience on Google maps,HONDA Gateway,1.0,60,0.949874,1
Nice service to the customers...quick response,HONDA Gateway,1.0,61,0.92258424,1
It's the best company of Honda...!,HONDA Gateway,1.0,62,0.9612869,1
"Best Dealership in Lahore.
Best After Sales Services.
Cooperative staff.",HONDA Gateway,1.0,63,0.95437884,1
"Poor staff cordination
Customer fully unattended.",HONDA Gateway,0.0,64,0.18863752,0
Good Honda service and maintenance although somewhat expensive,HONDA Gateway,1.0,66,0.7092723,1
Poor customer relationship,HONDA Gateway,0.0,67,0.19547391,0
"My car Honda City Aspire model 2017 was giving abnormal sound intermittently. It seems from camshaft. But mechanic was well trained, he directly pinpoint the problem of AC compressor loose bolts. Problem resolved in few minutes.",HONDA Gateway,1.0,68,0.4556514,0
