wiI7pd,manual_label,dealership_name,review_id,predicted_sentiment,predicted_label
Their manners are exceptional...and the complementary tea they served while waiting was wonderful too...All in all so far good enough to make me go there again....,1.0,HONDA RingRoad,1,0.79964155,1
Nice working staff and good services,1.0,HONDA RingRoad,2,0.9533229,1
"Honda ring road services are just pathetic, may it be professionalism, guiding customer about problem, on time delivery, everything is doubtful. manipulation of records is practice here. Would not recommend to anyone",0.0,HONDA RingRoad,3,0.12708081,0
Agr oil change k lie ana ho to pehle appointment lena hoga ya ase hi ja skte hai,,HONDA RingRoad,4,0.2915305,0
"Good services, well experienced team",1.0,HONDA RingRoad,5,0.9636798,1
It's good place,1.0,HONDA RingRoad,6,0.95332754,1
The experience is not seamless. Noisy environment no proper cabins for staff and sitting.,0.0,HONDA RingRoad,8,0.2644899,0
"Professional service, courteous staff and technically competent. Plus a well equipped workshop.",1.0,HONDA RingRoad,9,0.87285686,1
Too much expensive car maintenance,0.0,HONDA RingRoad,11,0.1697948,0
Good service,1.0,HONDA RingRoad,12,0.95621544,1
Comparative staff good dealership in town strongly recommended for your car maintenance they have attractive maintenance packages 100/100,1.0,HONDA RingRoad,13,0.93574184,1
Not much help with after services,0.0,HONDA RingRoad,14,0.23987778,0
"Got a car from here, service was good. Staff is well trained. It's a bit off from the main city but due to that there is less chaos at this dealership. The workshop is also good.",1.0,HONDA RingRoad,16,0.539897,1
Fake Phone number hai scam calls ati hain is say,0.0,HONDA RingRoad,17,0.18226266,0
Having personal experience. If Honda Ring Road cant afford the salary then dont hire Sales Staff,0.0,HONDA RingRoad,18,0.29661664,0
Had a very good experience of buying a car with very friendly and professional staff.,1.0,HONDA RingRoad,19,0.8966593,1
"Regular services are fine. The staff acts to be very friendly and some of them really are. But when it comes to any warranty issue, they keep coming up with excuses since their preference is to take up jobs  where they get money.",1.0,HONDA RingRoad,20,0.43849865,0
"Great Experience to Visit HONDA Ring Road, All Departments were Well Organized.",1.0,HONDA RingRoad,21,0.95753014,1
"I visited here for maintenance and body work of my car. Overall it was a good experience, staff is quite cooperative as compared to other 3S centers and well trained. Special thanks to Mr. Hafiz Ahmad and Mr. Rafaqat Sardar.",1.0,HONDA RingRoad,22,0.5420778,1
"Probably the best place to get your New Honda or get your Honda Car checked. They have amazing staff, from owner to gate guard, what a benchmark they are setting in dealership arena. but yea they forgot to give me complementary matts with",1.0,HONDA RingRoad,23,0.6269769,1
"New service center, novice running it",1.0,HONDA RingRoad,24,0.40082967,0
All quality services under one roof,1.0,HONDA RingRoad,25,0.30717957,0
Dangerous area,0.0,HONDA RingRoad,26,0.16459386,0
"HRR team is very knowledgeable, friendly and professional.
Along with good maintenance
will guide you through your dealÃÂ¢?ÃÂ¦and answer all your questions.",1.0,HONDA RingRoad,27,0.7296721,1
Very good services center and competent staff.,1.0,HONDA RingRoad,28,0.9058663,1
Good Envernment,1.0,HONDA RingRoad,29,0.95533943,1
"Great experience, Easy to access through Ring road and Amazing customer service. Thanks HRR Team",1.0,HONDA RingRoad,30,0.9162715,1
Awesome Customer Service. Nice environment. Easily Accessible,1.0,HONDA RingRoad,31,0.9533375,1
Up till now I have visited this place 3 times and every time I met with different people concerned to workshop which shows there high employee turnover which is not a good sign for the customers. As far as service quality is concern they,,HONDA RingRoad,32,0.34222597,0
Very cooperative and welcoming staff.,1.0,HONDA RingRoad,33,0.67433476,1
"Good experience...
Awesome service.....",1.0,HONDA RingRoad,34,0.9705891,1
Great experience purchasing a new car from Honda Ring Road. Mr. Muhammad Sajawwal was very kind and he made sure everything was lined up properly and on time. Will share my experience about their workshop as well but overall a very nice addition to Honda dealership network.,1.0,HONDA RingRoad,35,0.68209875,1
Supportive staff,1.0,HONDA RingRoad,36,0.94347006,1
Excellent customer services,1.0,HONDA RingRoad,38,0.9793271,1
I am employee in this dealership. This very good dealership. This peace of heart of gajjumata,1.0,HONDA RingRoad,39,0.9613971,1
Professional and highly trained technician staff.,1.0,HONDA RingRoad,40,0.60708773,1
I booked my BR-V and they committed delivery in 1 month but actually delivered in 2 months. Rest their services are good so far.,1.0,HONDA RingRoad,41,0.74447304,1
Good place and professional service... Customer oriented... Cooperative staff and good listening of Higher Management.,1.0,HONDA RingRoad,43,0.86695665,1
"Nice ambience.
Professional approch.",1.0,HONDA RingRoad,44,0.893118,1
Best customer care service,1.0,HONDA RingRoad,45,0.96127504,1
Dont book car from here. Honda ring road is big fraud. Especially overseas dont buy from here they blackmail to customers. Sale management is non professional. I have all chat proves. They threat to customers and zero customer care. Female behavior is very offensive. Because uneducated sale management.,0.0,HONDA RingRoad,46,0.36880514,0
Honda ring road is fraud. Plz dont buy any new car from here they are big blackmailer. Sales manager is no professional and involve in fraud. I booked my car from here. Didnt receive yet. I am going to complain about them.  Big thieves       I will post on social media about them.  Dont come here for any service.  Fraud management.,0.0,HONDA RingRoad,47,0.32026505,0
"I have had a dreadful experience with Honda. I booked a Honda Civic on 25-January 2022 from Honda Ring Road Lahore. Before I booked, the salesperson insisted that if I placed a booking in January, I would receive it in April 2022. Clearly,",0.0,HONDA RingRoad,48,0.18940534,0
I asked my friend and family members Honda ring road good place. But Today I visit Honda ring road for  my car 10000km service. 1 person add battery water with 4 letter oil gallon. And no entire on my warranty card. Today very bad experience.next time not recommend.,0.0,HONDA RingRoad,49,0.31676224,0
I am from Saudi Arabia. I booked my car from honda ring road. Delivery was at 31 august. Still didnÃÂ¢??t not get my car. It is completely fraud. Dont book ur car from Honda ring road. I strongly recommend. And if any person say about rights,0.0,HONDA RingRoad,50,0.48383072,0
Very nice and courteous staff. Expensive yet good service,1.0,HONDA RingRoad,51,0.9124726,1
Quik service friendly staff,,HONDA RingRoad,52,0.8762641,1
Fraud company. Boycott Honda    Insh Allah we will make trend boycott honda,0.0,HONDA RingRoad,53,0.2837923,0
Had good experiences with sales and services. Sales lady Ms Uzma is very helpful.,1.0,HONDA RingRoad,54,0.8501995,1
Beautiful place,,HONDA RingRoad,55,0.9732871,1
"Cooperative Staff. Staff and management are ready to help customer.
Good Experience",,HONDA RingRoad,56,0.8660895,1
Extremely bad experience,0.0,HONDA RingRoad,57,0.13468453,0
"Wonderful experience , with senior service adviser Mr Muhammad Shahbaz, Highly professional , courteous and friendly attitude, will come again, Regards Dr Qaisar.",,HONDA RingRoad,58,0.84355783,1
Excellent  staff and service,,HONDA RingRoad,59,0.9793397,1
Excellent service.,,HONDA RingRoad,60,0.98042727,1
Very supportive & courteous   staff.,,HONDA RingRoad,61,0.9520426,1
Service and repair is Very expensive than other Honda dealers and Very unprofessional behaviour. After repair you have to be carefully inspect your car or get inspected by independent inspection team. They don't pay attention and miss so,0.0,HONDA RingRoad,62,0.28117087,0
"Excellent service,  very humble and professional dealing.  Recommended",1.0,HONDA RingRoad,63,0.85040843,1
Very simple at map following,,HONDA RingRoad,64,0.37268808,0
Good place to buy Honda.,1.0,HONDA RingRoad,66,0.9532665,1
"It has been a year since I moved to Honda Ring Road for the periodic maintenance of my cars. Since then, every visit has added to my customer service experience. Their continuous investment in quality assurance is evident in terms of",1.0,HONDA RingRoad,67,0.5485793,1
Place for good services in the area,1.0,HONDA RingRoad,68,0.9506483,1
Great service. Good staff,,HONDA RingRoad,69,0.9628398,1
Not much satisfied with service. Non professional behavior,0.0,HONDA RingRoad,71,0.28084233,0
