review_text,dealership_name,label
"Bohat acha experience raha, staff bohat cooperative tha aur kaam time pe ho gaya",RomanUrduAug,1
"Service bohat zabardast thi, mechanic ne sahi masla pakra aur jaldi theek kar diya",RomanUrduAug,1
"Staff bohat friendly hai aur unhone har cheez achi tarah samjhai",RomanUrduAug,1
"Genuine parts miltay hain yahan aur rate bhi munasib hain",RomanUrduAug,1
"Mein bohat mutmain hun, gaari time pe deliver kar di unhone",RomanUrduAug,1
"Mashallah bohat saaf suthra showroom hai aur kaam bhi behtareen",RomanUrduAug,1
"Yahan ka customer care kamaal ka hai, har sawal ka jawab diya",RomanUrduAug,1
"Bohat hi professional log hain, recommend karta hun sab ko",RomanUrduAug,1
"Pehli dafa aaya tha aur service dekh kar khush ho gaya",RomanUrduAug,1
"Rate thora zyada hai lekin kaam ki quality bohat achi hai",RomanUrduAug,1
"Omer bhai ne bohat acha deal kiya, izzat se baat ki",RomanUrduAug,1
"Workshop saaf hai aur waiting area bhi comfortable hai",RomanUrduAug,1
"Gaari ki servicing ke baad performance bohat behtar ho gayi",RomanUrduAug,1
"Staff ne bina kisi extra charge ke masla solve kar diya",RomanUrduAug,1
"Bohat tasalli bakhsh service mili, dobara zaroor aaunga",RomanUrduAug,1
"Sahi waqt pe appointment mili aur kaam bhi jaldi nipta diya",RomanUrduAug,1
"Spare parts asaani se mil gaye aur price bhi theek tha",RomanUrduAug,1
"Yahan ke mechanic kaafi tajurbe kaar hain, kaam solid karte hain",RomanUrduAug,1
"Bohat acha laga, paise ki value mili poori",RomanUrduAug,1
"Denting painting ka kaam mashallah behtareen hua",RomanUrduAug,1
"Staff bohat tameez se pesh aaya, mazedaar experience tha",RomanUrduAug,1
"Booking se delivery tak sab kuch smooth raha, koi pareshani nahi",RomanUrduAug,1
"Honda ki service yahan se karwai, bilkul satisfied hun",RomanUrduAug,1
"Logon ne bohat madad ki aur sahi mashwara diya",RomanUrduAug,1
"Itna acha kaam dekh kar dil khush ho gaya",RomanUrduAug,1
"Sales wale bande ne bohat achi tarah guide kiya",RomanUrduAug,1
"Quality service munasib daam mein, isse acha kya chahiye",RomanUrduAug,1
"Gaari bilkul nai jaisi ho gayi service ke baad",RomanUrduAug,1
"Bohat reliable jagah hai, har baar acha experience hota hai",RomanUrduAug,1
"Time pe kaam, achi service aur cooperative staff, full marks",RomanUrduAug,1
"Yahan ka staff bohat hi madadgaar hai, dobara aana chahunga",RomanUrduAug,1
"Kaam itni jaldi aur achi tarah hua ke yaqeen nahi aaya",RomanUrduAug,1
"Paise ki poori value mili, koi shikayat nahi",RomanUrduAug,1
"Mechanic ne masla foran samajh kar theek kar diya, zabardast",RomanUrduAug,1
"Bohat behtareen rawaiya tha staff ka, dil se shukriya",RomanUrduAug,1
"Service center saaf aur staff bilkul professional",RomanUrduAug,1
"Gaari ka kaam mashallah top class hua yahan",RomanUrduAug,1
"Bohat khush hun, sahi rate pe acha kaam mila",RomanUrduAug,1
"Bohat ganda experience raha, staff bilkul cooperate nahi karta",RomanUrduAug,0
"Paise pure loot liye aur kaam phir bhi sahi nahi kiya",RomanUrduAug,0
"Staff bohat badtameez hai, izzat se baat tak nahi karte",RomanUrduAug,0
"Bohat mehnga hai yahan sab kuch, bilkul faida nahi",RomanUrduAug,0
"Service bilkul faltu thi, masla theek hone ke bajaye barh gaya",RomanUrduAug,0
"Yahan ke log jhoot bolte hain, fraud company hai",RomanUrduAug,0
"Spare parts nahi miltay aur har dafa intezaar karwa dete hain",RomanUrduAug,0
"Mechanic ko kuch nahi aata, kaam bilkul ghatiya kiya",RomanUrduAug,0
"Bohat buri service hai, dobara kabhi nahi aaunga",RomanUrduAug,0
"Gaari time pe deliver nahi ki, hafton intezaar karwaya",RomanUrduAug,0
"Customer care naam ki koi cheez nahi, koi sunta hi nahi",RomanUrduAug,0
"Paise zyada liye aur original parts ke naam pe nakli laga diye",RomanUrduAug,0
"Itna bekar experience pehle kabhi nahi hua",RomanUrduAug,0
"Staff kaam chor hai, bas paise banane mein lage rehte hain",RomanUrduAug,0
"Bohat zaleel kiya unhone, koi tameez nahi staff mein",RomanUrduAug,0
"Kaam acha nahi hota yahan, paise zaya ho gaye",RomanUrduAug,0
"Service ke baad gaari mein naya masla aa gaya",RomanUrduAug,0
"Yahan sirf loot machi hui hai, har cheez ka zyada paisa",RomanUrduAug,0
"Bohat slow log hain, ek chhota kaam mein pura din laga diya",RomanUrduAug,0
"Showroom ganda tha aur staff ka rawaiya bhi kharab",RomanUrduAug,0
"Bilkul waqt zaya, koi sahi guidance nahi di unhone",RomanUrduAug,0
"Fraud hai yeh log, estimate kuch aur bill kuch aur",RomanUrduAug,0
"Itne mehnge hone ke bawajood service ghatiya hai",RomanUrduAug,0
"Mistri ne masla theek karne ke bajaye aur bigaad diya",RomanUrduAug,0
"Bohat bura tajurba, paise de kar bhi zaleel hue",RomanUrduAug,0
"Staff phone tak nahi uthata, follow up karna parta hai baar baar",RomanUrduAug,0
"Parts available nahi the aur dobara bula kar phir mana kar diya",RomanUrduAug,0
"Yahan ka rate sun kar hi chakkar aa gaya, bohat mehngai hai",RomanUrduAug,0
"Kaam ke naam pe sirf paise barbaad kiye",RomanUrduAug,0
"Bilkul recommend nahi karunga, ghatiya tareen service",RomanUrduAug,0
"Bohat hi kharab rawaiya, dubara is taraf nahi aaunga",RomanUrduAug,0
