wiI7pd,dealership_name,manual_label,review_id,predicted_sentiment,predicted_label
Good honda center you can purchase the new brand honda cars from here,HONDA Township,1.0,1,0.7376892,1
"First time went there, staff was courteous, they gave a free of charge advice to test out the car and gave some pointers.",HONDA Township,1.0,2,0.7514973,1
"Alhamdulillah, Lord of the worlds",HONDA Township,,3,0.29892096,0
Excellent services,HONDA Township,1.0,4,0.9802685,1
"Professional services with qualified staff. I visit ""Honda Township"" for my ""Honda City"" regular check-ups and maintenance, and I am very much satisfied.",HONDA Township,1.0,5,0.6145206,1
Good experince. Educated technical staff. Cleen environment.,HONDA Township,1.0,6,0.8014852,1
I found it the best Honda point as compared to others like Samnabad.,HONDA Township,1.0,7,0.9476369,1
Most memorable place and cooperative place,HONDA Township,1.0,8,0.93521386,1
Nice Honda dealership and maintenance services. Courteous people.,HONDA Township,1.0,9,0.9526844,1
Very unprofessional staff. Not recommended.,HONDA Township,0.0,10,0.57916623,1
Over priced,HONDA Township,0.0,11,0.3144097,0
"Good service quality, probably the best Honda service center in Lahore",HONDA Township,1.0,12,0.8879571,1
Honda sale purchase and service center,HONDA Township,,14,0.27449468,0
Kuch mechaniqs khud he passay zayada bol daitay but ap senior se pehle clear,HONDA Township,0.0,15,0.32681984,0
Car maintenance work is good,HONDA Township,1.0,16,0.9523963,1
Best experience,HONDA Township,1.0,18,0.9641275,1
The workshop staff is very good. They don't let you get worried about your car. Ever. The best guy to meet is Irfan. He is a supervisor I think. He knows his stuff and always makes sure that he can guide you in the best way possible. He's always ready for a challenge and gives you honest advice,HONDA Township,1.0,19,0.68765634,1
"Poor management and commting mis commitments.

Collecting money from general public for booking of oriel and are unable to give its delivery",HONDA Township,0.0,23,0.26538327,0
"False commitments and ignorant attitude.

Car Dealerships have become a scam.

I booked a Car from Honda Township Motors Lahore in February, 2022. As per agreement, delivery was scheduled for November, 2022. Nearly a year has passed but. Rather than solving the problem, they ask for more money for another model which is more costly and a further delay in delivery.

1 year in waiting for the car and yet, all you get is excuses. Where do you go? What do you do? There is no one to question Honda Township Motors",HONDA Township,0.0,24,0.3008317,0
"False commitments and ignorant attitude.

Car Dealerships have become a scam.

I booked a Car from Honda Township Motors Lahore in February, 2022. As per agreement, delivery was scheduled for November, 2022. Nearly a year has passed but. Rather than solving the problem, they ask for more money for another model which is more costly and a further delay in delivery.

1 year in waiting for the car and yet, all you get is excuses. Where do you go? What do you do? There is no one to question Honda Township Motors",HONDA Township,0.0,25,0.3008317,0
Good workshop,HONDA Township,1.0,26,0.9568113,1
"Biggest Pakistan Honda township showroom
Al facilities good ?? ??",HONDA Township,,27,0.9478863,1
Honda showroom and pindi stop,HONDA Township,,28,0.3151568,0
You have to visit1st,HONDA Township,,29,0.2969103,0
Nice dealership for Honda lovers,HONDA Township,1.0,30,0.9564334,1
"Bought a City Aspire from this dealership. Mr. Samar was the person who dealt with me. I would say that the services provided by Mr. Samar from the start of the deal until the delivery of my required car file and smart card were simply marvelous. He was very patient and clarified all my queries in the beginning and then he delivered everything well before time, whether it was the car itself or the registration documents. This was the best experience I could imagine from a car dealership and only because of Mr. Samar.
Many thanks to Mr. Samar. I really fall short of words to express the good services he provided. Whatever he promised, he was always well before time to deliver. Very patient, courteous and humble person. Thank you again.",HONDA Township,1.0,31,0.3001022,0
Honda city new 2021 onward very bad experience about car sub standard car I am facing problem many Total milage is 18000 but tyres are out of order service Honda is giving to user is very bad,HONDA Township,0.0,32,0.24871019,0
It was expensive but has good workmanship,HONDA Township,0.0,33,0.6666906,1
Staff is helpful and cooperative.,HONDA Township,1.0,34,0.30690455,0
"1.5% extra charges on cards
Hard to understand",HONDA Township,,35,0.2293794,0
Very cooperative and skilled staff. Neat and clean. Great work,HONDA Township,1.0,36,0.9215956,1
Good satisfactory experience.,HONDA Township,1.0,37,0.95613825,1
It was good for high rates,HONDA Township,1.0,38,0.9030165,1
Sale Manager Samar sab is very good Person,HONDA Township,1.0,39,0.9658318,1
Perfect location,HONDA Township,1.0,40,0.97967833,1
Very good service,HONDA Township,1.0,41,0.9738459,1
Good experience,HONDA Township,1.0,42,0.957092,1
Very good customer service.,HONDA Township,1.0,43,0.9728445,1
Expensive but perfect!,HONDA Township,1.0,44,0.8870688,1
Pecoo road is one of the busiest road of Lahore...Be cautious to drive here,HONDA Township,,45,0.27178034,0
Parking issues.,HONDA Township,0.0,48,0.31946287,0
Good service,HONDA Township,1.0,49,0.95621544,1
Excellent staff service,HONDA Township,1.0,50,0.9795843,1
Lovely cooperative Staff,HONDA Township,1.0,52,0.94025815,1
Good 3S dealership for Honda very friendly staff,HONDA Township,1.0,54,0.9432441,1
Very Professional Staff. GOOD Tea and Coffee For Customers,HONDA Township,1.0,55,0.8464997,1
"Good service center specially mechanical team is great ??

Professional workers with a great working attitude. ??",HONDA Township,1.0,56,0.8741644,1
Its a 3S Honda authorized dealership locating on pindi stop. Ranking 1st in Pakistan on the Bases of its Services. Expensive but best place to tune-up your Car Engine.,HONDA Township,1.0,58,0.5600324,1
1 star off for the absurdly high prices for parts. The staff and everyone else was awesome.,HONDA Township,0.0,59,0.85554945,1
Small showroom with not enough vehicles on display. Staff was very courteous and friendly who helped with all the information I needed in detail,HONDA Township,0.0,60,0.55700225,1
No one picks your call,HONDA Township,0.0,61,0.2897215,0
"Best Honda workshop, excellent mechanic and workforce",HONDA Township,1.0,62,0.9737407,1
