wiI7pd,dealership,Unnamed: 1,Unnamed: 2,predicted_sentiment,confidence
"Suzuki Sethi Motors, proud to be among the leading authorized 3S dealerships of Pak Suzuki. We provide complete set of automobile solutions under one roof.
Car Dealership ? Automotive Repair Shop ? Automotive Parts Store",Suzuki Sethi Motors (Town Morr),,,Negative,0.5109592678022723
"I have experience in changing oil, plus I have to change the radiator cap and refil its coolant . services are good but they have very few employees thats why they done these thing in 2 hours",Suzuki Sethi Motors (Town Morr),,,Positive,0.5605095530746993
A good experience of maintenance job of my car. Comfortable sitting area. Courtesy n discipline.,Suzuki Sethi Motors (Town Morr),,,Positive,0.5605095530746993
"Done AC service from sethi motors, staff is friendly and guide you. rates are on higher side but atleast have peace of mind that parts would be original if require replacement.",Suzuki Sethi Motors (Town Morr),,,Positive,0.558485538257406
"This is an expensive place with no customer care. They have two persons to deal all the anger from the customers one is Mr.Danish slim guy AKA chota Danish and their CRO Wasif. Technicians and technical staff will ask you to pay them separately for creating mess with your vehicle. I have attached photos along with the review. I went there to replace the air conditioner due to a faulty compressor. It cost me 40k + 2k other part that they replaced they have team of 5 to 6 persons who deal with air conditioner they took whole day to install new unit and end of the day when they handed back my car its generator was not working it cost me another 4k to get a new battery becuse they forgot to adjust the generator. As new generator/Alternator was installed. This place is not recommended if you are not half mechanic. You will end up paying for their negligence. If you have a brand new car then it is fine to go their as the team is not expert and is very sharp at making excuses to get away with their own negligence. They use to have good people like Naveed, Zahid Khan but now they don't have expert professionals. Their two forman Asif and zeeshan are seniors but they'll be just sitting in the office all the time and if you ask to look at something they'll never move their butt. I am going their for last 5 years and two vehicles were maintained by them i have experienced several second visits, once they forgot to tight the tappet cover,  with my wagon r they were badly failed to diagnose the bearing issue. Like I said before if you have knowledge about your machine then it will be fine to go there. But avoid going there if you're not good enough to understand the mechanical of your car. Plus long wait is guaranteed.",Suzuki Sethi Motors (Town Morr),,,Negative,0.5085684637282673
Personalized services and professional staff. Expanding their work area now adays. More space will be available,Suzuki Sethi Motors (Town Morr),,,Positive,0.5605095530746993
"Went there for Oil Change
I found Best Service and honest staff",Suzuki Sethi Motors (Town Morr),,,Positive,0.5881235813232714
Gud and quick service.it was my first experience with suzuki sethi motore.the staff was vigilant and professional,Suzuki Sethi Motors (Town Morr),,,Positive,0.558485538257406
This is not best service and not clear a complain then better mini motor best service in providing,Suzuki Sethi Motors (Town Morr),,,Positive,0.5881235813232714
"Their services are good
What I guess is they try to increase you bills",Suzuki Sethi Motors (Town Morr),,,Positive,0.5605095530746993
Very good service  centre  I visited  there bench of time,Suzuki Sethi Motors (Town Morr),,,Positive,0.5881235813232714
Too busy workshop but good service overall,Suzuki Sethi Motors (Town Morr),,,Positive,0.5881235813232714
"Bought a car from them.  Not impressed at all from their service.  I have to push to get my work done.  Staff was indifferent towards client needs and perhaps more interested in tips.
I developed a problem in one of my car and i visited them they gave me an estimate of 35000 which later on i got done in only rs 2400.",Suzuki Sethi Motors (Town Morr),,,Negative,0.5773647462757812
"I went here for a repair for my car. The repair work itself was fine but the customer support staff were not professional and made me wait for an eternity whether it be getting an estimate for the damage to after the work was done and the invoice was to be paid. All in all it was an ok experience due to the quality of the repair work. Other than that, the customer support staff need to be professional and better trained on how to deal with customers.",Suzuki Sethi Motors (Town Morr),,,Positive,0.5845078837790162
Ok facility. Work done quickly at a decent price. Would have been more happy if a computer check up was done with 1st tuning,Suzuki Sethi Motors (Town Morr),,,Positive,0.5605095530746993
"The place of professional and technical people, taking care of every customer.",Suzuki Sethi Motors (Town Morr),,,Positive,0.5605095530746993
Amazing service and very well organised.  . Being a woman I was catered to very well . .and without any fraud . Excellent,Suzuki Sethi Motors (Town Morr),,,Positive,0.610285073989355
"Attitude of staff is lethargic like a government office. My car is insured by Bank Alfalah. It needed  minor denting and paint work. Only bumpers and a fender was to be painted without any repair. They took 6 days for it and the work was not satisfactory.  I had to ask again and again for compound and polish of bumpers. They were least interested and did it after a lot of excuses. The car was not properly cleaned.
I would not recommend it.",Suzuki Sethi Motors (Town Morr),,,Positive,0.5605095530746993
Decent experience. Hospitable owners and staff. Do feel that Suzuki Toyota and Honda run a mafia of sorts which hikes prices and provides limited features on vehicles.,Suzuki Sethi Motors (Town Morr),,,Negative,0.5109592678022723
Good but expensive service,Suzuki Sethi Motors (Town Morr),,,Negative,0.548550633432165
Its a dealership cum service point for all types of Suzuki Vehicles. Much busy place on Saturdays.,Suzuki Sethi Motors (Town Morr),,,Negative,0.5113101318982131
Best workshop than other suzuki shops,Suzuki Sethi Motors (Town Morr),,,Positive,0.5605095530746993
They have everything under one roof but service needs to be more quick.,Suzuki Sethi Motors (Town Morr),,,Negative,0.5113101318982131
Their customer handling is very poor.  One has to track and follow again and again to get work done.  Maintenance staff is also very inexperienced.  Not recommended at all.,Suzuki Sethi Motors (Town Morr),,,Negative,0.5791296396742487
"Good place with reasonable prices. However, my car has always been serviced by this place, and yet I found the battery water running dry and cabin filter requiring replacement when these guys should've recommended these during routine services.",Suzuki Sethi Motors (Town Morr),,,Positive,0.5605095530746993
They deal with the sale and services of various brands of Suzuki cars. Courteous staff in good environment,Suzuki Sethi Motors (Town Morr),,,Positive,0.5605095530746993
One can buy all cars and motorcycles of Suzuki and after sale service here.,Suzuki Sethi Motors (Town Morr),,,Negative,0.5113101318982131
"I'm disappointed with services. Last time I've a bad experience of unsatisfied services as the worker change oil without even showing me and this time other worker has damage air filter intentionally and I was seeing that. Just to sale the material disposal of good filter was not a good idea.
Sorry but that was true and I'll not visit this place anymore",Suzuki Sethi Motors (Town Morr),,,Negative,0.5347096322846538
"Normal service. Salesman was not that courteous in his tone and showed little or no interest in making a prospective client.

The owners need to check on their services and such kind of employees which let them down.

Other showrooms contacted were more convincing and courteous.

The future is all about good service now and the owners need to open their eyes.",Suzuki Sethi Motors (Town Morr),,,Positive,0.5842531542201976
Its a Suzuki workshop and sale center. All type of services are available here regarding your car.,Suzuki Sethi Motors (Town Morr),,,Negative,0.5109592678022723
Good and big place. Very good service,Suzuki Sethi Motors (Town Morr),,,Positive,0.5839401980210318
"They are very good for repair and maintenance of Suzuki vehicles. Their waiting area is big and well maintained so you can wait while work is being done. The only problem is that if it is insurance work, they take too many days. Rest I was satisfied with the work. Payments can he made via credit cards. The shop closed at 6 p.m. so plan your visit accordingly.",Suzuki Sethi Motors (Town Morr),,,Positive,0.5321214989757779
"Useless customer service and they will never pick your call no matter how much u try. They ask too much On Pay money compared to other showrooms. They were asking Rs.150,000 On Pay on Suzuki Swift Automatic while all other showrooms kept their rate at Rs.100,000 plus minus.",Suzuki Sethi Motors (Town Morr),,,Negative,0.5773647462757812
I have been asking for gear oil since i purchased my car in 2020 but they don't have any and i don't know when will I be able to get it. Service is ok btw.,Suzuki Sethi Motors (Town Morr),,,Negative,0.5113101318982131
"Customer service is pretty good.  This is my 1st visit can't comment about the maintenanc services. The mechanic I encountered with was greedy, one has to please him (of course by giving money) he ensured best performance of the vehicle let's c! His professional conduct makes every thing dubious! One cannot trust them but their r no other options unfortunately",Suzuki Sethi Motors (Town Morr),,,Positive,0.610285073989355
"I bought wagon r 1 week ago from this place the person dealing us was Sir Waqar butt
Very excellent service + excellent customer satisfaction . I will give sethi motors 9/10 and waqar butt 10/10 . He deals us in very excellent way like his own family .",Suzuki Sethi Motors (Town Morr),,,Positive,0.5788703675278858
"ASSALAM-0-ALAIIKUM FRIENDS I HOPE AP SB THEEK HON GE INSHALLAH
SETHI MOTOR'S LAHORE KA ENVIRONMENT BOHAT ACHA HAI
STAFF MEMBERS COPERATIVE OR ACCOMMODATE KARTE HAIN
ACCORDING TO MY EXPERIENCE THERE
THE MALE STAFF MEMBERS GIVE EVERY INFORMATION I WANT AND HE ALSO SHOW ME ALL THE CARS THEY HAVE IN THERE SHOWROOM
YOU CAN GET
SUZUKI ALTO AUTO MATIC IN APPROXIMATELY 15 LACS
AND WITH 13 INCH TYRE

SUZUKI VITARA PRICE IS 65 LAC
THE LOOK OF SUZUKI VITARA IS RESEMBLE WITH RANGE ROVER
AN EXTRAORDINARY SUV IN JUST 65 LAC

I RECOMMEND YOU TO VISIT WITH YOUR FAMILY AND ENJOY THE SERVICE

WAIT! WAIT! THE DUE TO SEMI CONDUCTOR CHIPS SHORTAGE THE BOOKING TIME IS 6 MONTHS AND NOWADAYS THRY ARE NOT START BOOKING MAY BE THEY START SOON
THANK YOU",Suzuki Sethi Motors (Town Morr),,,Positive,0.558485538257406
"A very well set up suzuki dealership with proper competent workforce. With the latest equipment and proper handling, car has never had any trouble. Its been 5 years and every time I get my car maintained from it. A bit expensive if compared to market but the excess price is compensated since no other fault appears while repairing any existing one.",Suzuki Sethi Motors (Town Morr),,,Negative,0.5791296396742487
"Excellent services, i went there for my AC issue, they cooperated with me very efficiently. Team is highly efficient. They guide me properly and helped me in professional way.",Suzuki Sethi Motors (Town Morr),,,Positive,0.5619522110209968
Not very good customer service. Extremely rude behaviours. Not recommended at all.,Suzuki Sethi Motors (Town Morr),,,Negative,0.5089763875056554
Best for mechanical work But Spare parts are very expensive. I don't know this price variation is because of genuine or local parts or any other reason behind this. Anyhow staff is very good at all.,Suzuki Sethi Motors (Town Morr),,,Positive,0.5321214989757779
"Arrogant dealers,,there are alot of condition for car booking,,for example full payment in advance,,sethi motors also collects registration charges in advance,,ransome ly rahy",Suzuki Sethi Motors (Town Morr),,,Negative,0.5109592678022723
"Worst authorized dealership. They don't give proper attention to customer and say we need half hour or more to inspect you car reason is more customer, no availability of labor e.t.c.",Suzuki Sethi Motors (Town Morr),,,Negative,0.5791296396742487
"They offer good washing service, car nut bolt tightening and the opinion was vague, one technician said you must have 6 to 7 repairing work but the final technician said that don't listen anyone. Your car is OK. Anyways a good recommendation by my father",Suzuki Sethi Motors (Town Morr),,,Positive,0.5599673606495894
"Satti sb
Respected sir
I am an OLD customers and have been coming to your workshop for the last ten years. Bought cars from here and find it a wonderful spot for ""buying and repairing"" a car. There are a few sincere and humble suggestions:
1) Please put up a diagram on your website showing the peak or leisure hours. It will help a customer to choose his less busy hours of his conveniences . It is cumbersome,  you come here from too far and find that the workshop is filled and you wait too long.
2) Rates of spare parts need to be looked into. I know for the quality and genuinely of it. BUT..
3) ALL OVER THE WORLD IT IS A RULE THAT SENIOR CITIZENS ARE PRIORITISED.  I am an old teacher at a reputed college who has spent the whole life honestly serving this nation expects quick work in an organization of your repute. I am NOT complaining about anything. Today, I was treated very well for this act. Thanks...your young workers and supervisory staff  treated me well. GOD BLESS...
But if you KINDLY MAKE A POLICY OF PRIOTY TO THE OLD AND HANDICAPPED. IT WILL EARN NOT ONLY GOOD NAME, MORE BUSINESS BUT ALLAH BLESSINGS...IT IS A UNIVERSAL FACT, SIR. PLEASE GIVE IT A SERIOUS THOUGHT...
Please keep up the best work.
THANKS
MUHAMMA ARSHAD.",Suzuki Sethi Motors (Town Morr),,,Positive,0.6295541766374877
"expensive rates. it's not perfect for new car users. They have staff, but they do not check your car to confirm that your car do not have any other problem, other that what you've explained.
Staff, who is always busy. In my last visit, my word was done in 45 minutes and they took extra 45 minutes just for clearance.
I'll leave once i find good alternative.",Suzuki Sethi Motors (Town Morr),,,Negative,0.5080310849366927
Great experience.  They are nice people with great communication and honest working.,Suzuki Sethi Motors (Town Morr),,,Positive,0.5605095530746993
All accessories are available. I was in search of touch-up paint for my car since 6 months. Searched in Isb also.. but here at sethi motors it is easily available,Suzuki Sethi Motors (Town Morr),,,Negative,0.5109592678022723
"Not a trustworthy place. During work you have to be there with your car otherwise a new they would find a new fault in your car.
Their staff don't even know manners of talking and handling situation, Place is good but staff and mechanics huh! Their head mechanic(i don't know what they call him) use very bad language after he is unable to identify problem and can't even explain the problem.",Suzuki Sethi Motors (Town Morr),,,Negative,0.5655920611481626
Sethi motors was ausome as far as services are concerned. They don't take much time either in serving. Still depends upon work load i would say.,Suzuki Sethi Motors (Town Morr),,,Negative,0.5109592678022723
"I have mixed experience of this place.

Pros
Large showroom
Exclusively for Suzuki vehicles
They oblige you with priority if you had booking.
Staff is generally courteous.
Tuck shop drinks also available.
Seating waiting area available.
Usually they don't bring up extra faults in your car.

Cons
There is lack of coordination between staff.
Staff is diverse and some are not courteous, not cooperative, uncaring and self centered.
At rush hour they want you to typically go away.
If you go for simple service, they pretty much do nothing at all except for screw tightening.
Parts are overpriced.
If you ask for opinion like I wanted Android panel in WagonR, they provide you wrong piece of advice and told me cost of 45k which is way way overpriced.
My car started performing bad with milage of 10 they said it's normal.

Summary
Probably the largest service station for Suzuki but owing to my poor performing car after wait time of 2-3 hours at service I decided to leave sethi motors and Alhamdulillah my car is back to milage of near 15. So Generally I won't recommend sethi motors.",Suzuki Sethi Motors (Town Morr),,,Negative,0.5461163060019056
Good place for car service however  service charges are way too high.,Suzuki Sethi Motors (Town Morr),,,Positive,0.5534168306296006
"Terrible experience today 4 June, 2019. Reached 9.15 hrs. After 2 hours, the job was completed except replacing wiper blades that requires few seconds. They put me on hold for one hour that Electrical Pit was not free. After repeated reminders to the Incharge Arsalan, I ultimately met their Management Mr Rehman and in the next 5 minutes, my car was out of the Workshop. There is hardly any work management in workshop area. It has happened to me in the past as well.",Suzuki Sethi Motors (Town Morr),,,Negative,0.5791296396742487
Always a great experience.,Suzuki Sethi Motors (Town Morr),,,Positive,0.5605095530746993
"It is authorized dealership of Suzuki, for Sales, Service and Spare parts. Their services are good and staff is trained and efficient. However the prices of parts and cost of labour  are higher than the general market.",Suzuki Sethi Motors (Town Morr),,,Positive,0.5881235813232714
"I was there at 11. They said it would take 45 minutes due to queue. I was ok with the wait. They broke for lunch at 1. They came back at 2. I exited after payment at 3.

That is a lot of 45 minutes.",Suzuki Sethi Motors (Town Morr),,,Negative,0.5109592678022723
Car-care products are very expensive. So please try not to buy car care products from here. Staff members are cool and most of them are helping.,Suzuki Sethi Motors (Town Morr),,,Negative,0.5791296396742487
"Parts availbility is better than other dealerships and rest is a mess. Its an over crowdes place,  almost located in the center of the lahore city. I checked in at 2 pm thrusday and there was long queue at my car got a place to be fix at 3:10 pm. And i had wait for each type of work separately i.e. 20 mins for wheel balancing, 15 mins for electrician. I left the service at 4:30pm. One more thing they will ask you for your CNIC number for customer details. Never ever share your such details its unlawful and very suspecious act of sehti motors. This was my first and last visit to sehti motors!!!",Suzuki Sethi Motors (Town Morr),,,Negative,0.5113101318982131
The are good in work but need to give more attention on customary service they will not take such a good attention and make there client upset there insurance agents and customer care workers are not do there work properly every time the leave some work of cars in insurance may be its free tjates why,Suzuki Sethi Motors (Town Morr),,,Positive,0.5599673606495894
Fast work despite very busy shop. Job done to my satisfaction. The shop looked a little chaotic but there was probably a method to their madness as they were getting everything done.,Suzuki Sethi Motors (Town Morr),,,Positive,0.5605095530746993
