wiI7pd,dealership_name,manual_label,review_id,predicted_sentiment,predicted_label
"Good showroom that offers other services like service / repair centre, facilitate in purchasing old but good suzuki cars and deals with Suzuki motorcycles.",Suzuki Adil Zafar Motors,1.0,1,0.6995955,1
Services are OK.. While Spare parts prices are too much high even unaffordable in some cases.,Suzuki Adil Zafar Motors,0.0,2,0.5285892,1
Received vehicle with faults which an ordinary person can not found..only an expert person who have the knowledge of vehicle denting and painting experience can judge it.,Suzuki Adil Zafar Motors,0.0,3,0.36883488,0
"I have been there several times for regular maintainance and repairs. Everytime the ecperience is kind of neutral.

Labour/staff is not cooperative as compared to Sethi Motors and Ali jan motors.

The system here is less organized and i dont know why the body language of labour make you feel that they are scamming somewhere. Like today, i went there to get the ""Right axle"" checked and after road test he said that the whole part (axle) needs to be replaced. His body language was like he was lying. Then i asked him if i can buy the part from general auto parts shops and not from suzuki then he started whispering with other mechanics and finally he said you can bring yourself and we will install it.

Then he again said, ""you have to get it machined yourself too""

Means he discouraged  me to buy part of my own.

The behaviours were disappointing in short.

Not a customer friendly environment.

At last, i decided not to get it repaired at Adil Zafar motors.

I recommend Sethi Motors, Ferozepur road.",Suzuki Adil Zafar Motors,0.0,4,0.21306594,0
"They are avoiding to do repairs/services those are recommended by the Suzuki booklet at different mileage and as asked by costumers, I experienced this at three visits. Parts (filter) was unavailable and one of the technician offered to buy used A/C filter form him in Rs. 1000 that's original price is Rs. 7000. Not recommended for repairs/services.",Suzuki Adil Zafar Motors,0.0,5,0.4979514,0
My father car mechanic.. best,Suzuki Adil Zafar Motors,,6,0.958752,1
"Good staff, great work, supportive customer service.",Suzuki Adil Zafar Motors,1.0,7,0.9543194,1
"Well, as a car showroom and service center, I would rate this place 4-star but since this place belongs to Suzuki (which is a third-class vehicle manufacturer due to its quality of products and expensive prices), it deserves not more than 2-star. Therefore, on average, 3-star in my opinion.
They provide good car services but rates are quite high as compared to local market (because of being a brand). Also, their upper and sales staff is bit amateur and needs some professional training.",Suzuki Adil Zafar Motors,1.0,8,0.29255164,0
Suzuki genuine workshop. A little costly.... But company maintenance is the BEST,Suzuki Adil Zafar Motors,1.0,9,0.85426855,1
Staff is friendly and cooperative. They provide efficient and prompt service.,Suzuki Adil Zafar Motors,1.0,10,0.863289,1
"So much expensive. Moreover, really customer service. No one even bothered to ask me. Very rude staff.",Suzuki Adil Zafar Motors,0.0,11,0.28605947,0
I love because they deliver my car in just one week. Imagine just in 1 week my car reached from Karachi after booking. After sales service is awesome. Full track record and full support. 100% recommend.,Suzuki Adil Zafar Motors,1.0,12,0.6920836,1
Staff was cooperative and informative. If driver shows interest in learning they guide you properly and make sure that customer is satisfied. Recommend indeed,Suzuki Adil Zafar Motors,1.0,13,0.7791836,1
All service available in Showroom,Suzuki Adil Zafar Motors,1.0,14,0.8584843,1
Normal services for car Repair,Suzuki Adil Zafar Motors,1.0,15,0.78370786,1
All under one roof,Suzuki Adil Zafar Motors,1.0,16,0.31465963,0
Nice for buying car,Suzuki Adil Zafar Motors,1.0,17,0.9563338,1
Sales services and part's,Suzuki Adil Zafar Motors,1.0,18,0.30136314,0
Delivered car on-time but of course I have pay on price. But they kept their commitment. A good experience.,Suzuki Adil Zafar Motors,1.0,19,0.9054507,1
Below average to average public dealing. I don't know whether it is due to work load of something else.,Suzuki Adil Zafar Motors,0.0,20,0.30451807,0
Good service but not so good  expert in suzuki motors. I will not recommend,Suzuki Adil Zafar Motors,0.0,21,0.9030402,1
