wiI7pd,dealership,Unnamed: 1,Unnamed: 2,predicted_sentiment,confidence
Good honda center you can purchase the new brand honda cars from here ?? ??,HONDA Township,,,Positive,0.5605095530746993
"First time went there, staff was courteous, they gave a free of charge advice to test out the car and gave some pointers.",HONDA Township,,,Negative,0.5109592678022723
"Alhamdulillah, Lord of the worlds",HONDA Township,,,Negative,0.5109592678022723
Excellent services,HONDA Township,,,Positive,0.5605095530746993
"Professional services with qualified staff. I visit ""Honda Township"" for my ""Honda City"" regular check-ups and maintenance, and I am very much satisfied.",HONDA Township,,,Positive,0.5895584692427674
Good experince. Educated technical staff. Cleen environment.,HONDA Township,,,Positive,0.5605095530746993
I found it the best Honda point as compared to others like Samnabad.,HONDA Township,,,Positive,0.5605095530746993
Most memorable place and cooperative place,HONDA Township,,,Negative,0.5109592678022723
Nice Honda dealership and maintenance services. Courteous people.,HONDA Township,,,Negative,0.5109592678022723
Very unprofessional staff. Not recommended.,HONDA Township,,,Negative,0.5109592678022723
Over priced,HONDA Township,,,Negative,0.5109592678022723
"Good service quality, probably the best Honda service center in Lahore",HONDA Township,,,Positive,0.625792136448264
Love it,HONDA Township,,,,
Honda sale purchase and service center,HONDA Township,,,Negative,0.5113101318982131
Kuch mechaniqs khud he passay zayada bol daitay but ap senior se pehle clear,HONDA Township,,,Negative,0.5109592678022723
Car maintenance work is good,HONDA Township,,,Positive,0.5605095530746993
Rude staff,HONDA Township,,,,
Best experience,HONDA Township,,,Positive,0.5605095530746993
The workshop staff is very good. They don't let you get worried about your car. Ever. The best guy to meet is Irfan. He is a supervisor I think. He knows his stuff and always makes sure that he can guide you in the best way possible. He's always ready for a challenge and gives you honest advice,HONDA Township,,,Positive,0.5845078837790162
Loved it,HONDA Township,,,,
Good,HONDA Township,,,,
Good staff,HONDA Township,,,,
"Poor management and commting mis commitments.

Collecting money from general public for booking of oriel and are unable to give its delivery",HONDA Township,,,Negative,0.5791296396742487
"False commitments and ignorant attitude.

Car Dealerships have become a scam.

I booked a Car from Honda Township Motors Lahore in February, 2022. As per agreement, delivery was scheduled for November, 2022. Nearly a year has passed but. Rather than solving the problem, they ask for more money for another model which is more costly and a further delay in delivery.

1 year in waiting for the car and yet, all you get is excuses. Where do you go? What do you do? There is no one to question Honda Township Motors",HONDA Township,,,Negative,0.5791296396742487
"False commitments and ignorant attitude.

Car Dealerships have become a scam.

I booked a Car from Honda Township Motors Lahore in February, 2022. As per agreement, delivery was scheduled for November, 2022. Nearly a year has passed but. Rather than solving the problem, they ask for more money for another model which is more costly and a further delay in delivery.

1 year in waiting for the car and yet, all you get is excuses. Where do you go? What do you do? There is no one to question Honda Township Motors",HONDA Township,,,Negative,0.5791296396742487
Good workshop,HONDA Township,,,Positive,0.5605095530746993
"Biggest Pakistan Honda township showroom
Al facilities good ?? ??",HONDA Township,,,Positive,0.5605095530746993
Honda showroom and pindi stop,HONDA Township,,,Negative,0.5109592678022723
You have to visit1st,HONDA Township,,,Negative,0.5109592678022723
Nice ?? dealership for Honda lovers ??,HONDA Township,,,Negative,0.5109592678022723
"Bought a City Aspire from this dealership. Mr. Samar was the person who dealt with me. I would say that the services provided by Mr. Samar from the start of the deal until the delivery of my required car file and smart card were simply marvelous. He was very patient and clarified all my queries in the beginning and then he delivered everything well before time, whether it was the car itself or the registration documents. This was the best experience I could imagine from a car dealership and only because of Mr. Samar.
Many thanks to Mr. Samar. I really fall short of words to express the good services he provided. Whatever he promised, he was always well before time to deliver. Very patient, courteous and humble person. Thank you again.",HONDA Township,,,Positive,0.5895584692427674
Honda city new 2021 onward very bad experience about car sub standard car I am facing problem many Total milage is 18000 but tyres are out of order service Honda is giving to user is very bad,HONDA Township,,,Negative,0.6014057727804852
It was expensive but has good workmanship,HONDA Township,,,Negative,0.5088887958765483
Staff is helpful and cooperative.,HONDA Township,,,Positive,0.5605095530746993
"1.5% extra charges on cards
Hard to understand",HONDA Township,,,Negative,0.5109592678022723
Very cooperative and skilled staff. Neat and clean. Great work,HONDA Township,,,Positive,0.5605095530746993
Good satisfactory experience.,HONDA Township,,,Positive,0.5605095530746993
It was good ??··for high rates ?·?· ??,HONDA Township,,,Positive,0.5605095530746993
Sale Manager Samar sab is very good Person,HONDA Township,,,Positive,0.5605095530746993
Perfect location,HONDA Township,,,Positive,0.5605095530746993
Very good service,HONDA Township,,,Positive,0.5881235813232714
Good experience,HONDA Township,,,Positive,0.5605095530746993
Very good customer service.,HONDA Township,,,Positive,0.558485538257406
Expensive but perfect!,HONDA Township,,,Negative,0.5088887958765483
Pecoo road is one of the busiest road of Lahore...Be cautious to drive here,HONDA Township,,,Negative,0.5109592678022723
Ok,HONDA Township,,,,
Nice,HONDA Township,,,,
Parking issues.,HONDA Township,,,Negative,0.5109592678022723
Good service,HONDA Township,,,Positive,0.5881235813232714
Excellent staff service,HONDA Township,,,Positive,0.558485538257406
Nice.,HONDA Township,,,,
Lovely cooperative Staff,HONDA Township,,,Negative,0.5109592678022723
Best,HONDA Township,,,,
Good 3S dealership for Honda very friendly staff,HONDA Township,,,Positive,0.5895584692427674
Very Professional Staff. GOOD Tea and Coffee For Customers,HONDA Township,,,Positive,0.5895584692427674
"Good service center specially mechanical team is great ??

Professional workers with a great working attitude. ??",HONDA Township,,,Positive,0.6215994491711136
Nice,HONDA Township,,,,
Its a 3S Honda authorized dealership locating on pindi stop. Ranking 1st in Pakistan on the Bases of its Services. Expensive but best place to tune-up your Car Engine.,HONDA Township,,,Negative,0.5088887958765483
1 star off for the absurdly high prices for parts. The staff and everyone else was awesome.,HONDA Township,,,Positive,0.5605095530746993
Small showroom with not enough vehicles on display. Staff was very courteous and friendly who helped with all the information I needed in detail,HONDA Township,,,Positive,0.5605095530746993
No one picks your call,HONDA Township,,,Negative,0.5109592678022723
"Best Honda workshop, excellent mechanic and workforce",HONDA Township,,,Positive,0.5895584692427674
Good experience,HONDA Township,,,Positive,0.5605095530746993
Obviously a perfect,HONDA Township,,,Positive,0.5605095530746993
Good service so far. But a bit expensive,HONDA Township,,,Positive,0.5316693354498528
Worst experience with Honda bought new city and next day gives fault,HONDA Township,,,Negative,0.5791296396742487
Good service point. They should have vacuum cleaner for cars.,HONDA Township,,,Positive,0.5881235813232714
It's okay,HONDA Township,,,,
Please share the latest price for 2015 honda city  1.5 oil change and tuning,HONDA Township,,,Negative,0.5109592678022723
One of the best honda service center in Lahore,HONDA Township,,,Positive,0.558485538257406
?? ?·?????????????????·???··????·???????????·?·?????????·???·???····?????????·??????????·It?? was really good to visit honda township. Staff was professional and well trained. Have good nice welcome. Talk honest not like Kia and other showrooms ??,HONDA Township,,,Positive,0.5845078837790162
Staff is out of mind not a professional,HONDA Township,,,Positive,0.5605095530746993
"Honda car mechanical, automotive and body works services available. Routine parts readily available. Service Quality is good.",HONDA Township,,,Positive,0.5881235813232714
Excellent behaviour guid help full friendly environment,HONDA Township,,,Positive,0.5895584692427674
Good dealership but need to focus on their system,HONDA Township,,,Positive,0.5605095530746993
Good,HONDA Township,,,,
Nice staff Good services,HONDA Township,,,Positive,0.5605095530746993
Very Expensive,HONDA Township,,,Negative,0.5791296396742487
Best place in town for Honda Vehacle Burying and services.,HONDA Township,,,Positive,0.5605095530746993
Excellent Service.,HONDA Township,,,Positive,0.5881235813232714
Astonished to see the extra charge on using bank cards (debit/credit).....a silly way of handling customers....,HONDA Township,,,Negative,0.5109592678022723
Good courteous staff.,HONDA Township,,,Positive,0.5605095530746993
Amazing staff and services,HONDA Township,,,Positive,0.5605095530746993
Honda workshop moved to new location.,HONDA Township,,,Negative,0.5109592678022723
Very good service ?????????? thanks to omer Khalid Bhai ??,HONDA Township,,,Positive,0.5881235813232714
Nice experience.,HONDA Township,,,Negative,0.5109592678022723
Good place for car purchase and repairing,HONDA Township,,,Positive,0.5605095530746993
It comes below my exceptation.They don?? fulfill there comitment.i face very trouble i never recomand to any other person.The staff is not loyal with there work and client.,HONDA Township,,,Negative,0.5109592678022723
Too goooooood,HONDA Township,,,Negative,0.5109592678022723
Good one,HONDA Township,,,,
Good staff and huge setup of workshop. For routine maintenance they took less time than any other workshop and have genuine Honda parts available.,HONDA Township,,,Positive,0.5605095530746993
Great service. The place was spotlessly clean and the crew was very helpful. It's pretty far from where I luce but I don't mind the travel if the service is this good.,HONDA Township,,,Positive,0.625792136448264
Very good display and service,HONDA Township,,,Positive,0.558485538257406
"Amazing experience operative staff ??··,https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png""",HONDA Township,,,Positive,0.5605095530746993
So good,HONDA Township,,,,
"A dealership to purchase Honda vehicle.
Staff is friendly and curtious",HONDA Township,,,Positive,0.5605095530746993
Good ?? ??,HONDA Township,,,,
Bad experience,HONDA Township,,,Negative,0.5791296396742487
The stuff appeared very cooperative and helpful. But I found their rates slightly on higher side.,HONDA Township,,,Positive,0.5605095530746993
it is not a long queue place. you can get your car check/repaired within no time. morning timmings are preferable if you want to save your time,HONDA Township,,,Negative,0.5109592678022723
"Nice people, quite helpful for ur car services as well as guidance",HONDA Township,,,Positive,0.5605095530746993
Excellent services,HONDA Township,,,Positive,0.5605095530746993
