wiI7pd,dealership_name,manual_label,review_id,predicted_sentiment,predicted_label
"Wonderful place, great experience.",HONDA Point,1.0,1,0.97489583,1
I have a good experience with Honda point because it has reasonable prices and staff was polite,HONDA Point,1.0,3,0.87861466,1
Good workshop,HONDA Point,1.0,5,0.9568113,1
"Gd gob
Great work
Fast service",HONDA Point,1.0,6,0.9357066,1
Satisfactory service. Labour charges are through the roof though.,HONDA Point,1.0,7,0.2922492,0
Good service level,HONDA Point,1.0,8,0.95430523,1
"Professional and satisfactory service, courteous behavior and reasonable charges",HONDA Point,1.0,9,0.8391734,1
Getting very expensive day by day.,HONDA Point,0.0,10,0.14725906,0
Service is good but too expensive??,HONDA Point,0.0,11,0.6924369,1
Staff working there tries to cheat the customer. They charge extra amount in some way or the other.,HONDA Point,0.0,12,0.2963531,0
Good show room,HONDA Point,1.0,13,0.9541745,1
Good sale and service center,HONDA Point,1.0,16,0.8001618,1
??I bought a car them good people ??,HONDA Point,1.0,17,0.94639885,1
Nice to good work ki maker,HONDA Point,1.0,19,0.9543554,1
"They do not want to work
Very casual staff
They are boss",HONDA Point,0.0,20,0.15812483,0
Pathetic people,HONDA Point,0.0,21,0.09786473,0
Khuda bukhsh colony k pass hy airport road to bhatta chowk,HONDA Point,,22,0.26679036,0
My experience with Honda point Near Airport is to  bad. Their services are worst and lazy. I booked a back bumper  but after a lapse of a fews days my payment has not been paid to Honda Pakistan Limited. As per company policy booking is on first come first serve basis. Due to this delay  of Honda Point company will deliver the vehicle late . Who will be responsible for the delay and if price will increase who will be responsible. I am calling on phone but no one is attending. Pathetic services.I advise every one to book your vehicle on some other Honda showroom. Commitment of Honda pilot is fake.,HONDA Point,,23,0.21315001,0
My experience with Honda point Near Airport is very bad. Their services are worst. I booked HRV but after lapse of four days my payment has not been paid to Honda Pakistan Limited. As per company policy booking is on first come first serve basis. Due to this delay  of Honda Point company will deliver the vehicle late . Who will be responsible for the delay and if price will increase who will be responsible. I am calling on phone but no one is attending. Pathetic services.I advise every one to book your vehicle on some other Honda showroom. Commitment of Honda pilot is fake.,HONDA Point,,24,0.21211913,0
Mediocre services .,HONDA Point,0.0,25,0.21129239,0
"There estimate is very high and not acceptable, better to work from outside",HONDA Point,0.0,27,0.45589465,0
Staff is Good and expirience is good,HONDA Point,1.0,28,0.9475251,1
The show room is really nice and the design of showroom Building is also very nice.,HONDA Point,1.0,29,0.946719,1
Absolutely nice experience all are sophisticated well mannered and skilled mechanics/ technicians,HONDA Point,1.0,30,0.9331146,1
Honda Point is one of the worst car dealerships you will find in Lahore.Staff is rude and abusive.From sales person to the manager no one takes responsibility. Worst experience ever and its not the first time two times in four years.,HONDA Point,0.0,31,0.22260673,0
Quick and courteous,HONDA Point,1.0,32,0.9328172,1
Staff need training on professionalism. Abusive language,HONDA Point,0.0,33,0.27003926,0
Never expect a service from them. It's like someone gives you pathetic full of arrogance service and the charges you 2 times for that from market rate.,HONDA Point,0.0,34,0.23088418,0
"Courteous and supportive staff (based on my experience). Service level has been good so far for my vehicle.

Each visit boosts the trust.",HONDA Point,1.0,35,0.88065785,1
Organized and good service center staff is professional part's and accessories prices are on higher side compared with others dealt in genuine part's,HONDA Point,1.0,36,0.57849133,1
"I would avoid Honda Point. I went for a oil change. Instead of seeing a customer service staff, I was moved between four different staff members. The whole operation was based in a stuffy, hot and smelly workshop area. I highlighted the issue everyone I met there and they all blamed their management. This shows that the Honda Point is being run by inefficient managers who don't know even the basics of customer service or about the concept of one stop customer service. I will never visit them again but also advise you to research if other Honda dealerships are offering better service.",HONDA Point,0.0,37,0.29573566,0
"Aug 10. 5:30.
No proper arrangements for water. There's no drinking glass, I asked multiple time for water glass and no one bothered. Aal they were saying ""larka nahi hay""",HONDA Point,,38,0.32254013,0
Tax evasion at it's finest,HONDA Point,,41,0.28742462,0
Better than rest but service is not very fast,HONDA Point,1.0,42,0.65505207,1
Good experience....,HONDA Point,1.0,43,0.957092,1
Had my seat covers changed and the experience was great.,HONDA Point,1.0,45,0.9547579,1
Good 3S service providers,HONDA Point,1.0,46,0.95311064,1
Excellent place for maintenance. Simply says thugs free workshop.,HONDA Point,1.0,47,0.92452765,1
Quick service for most of time. Clean workshop. Professional  staff.,HONDA Point,1.0,49,0.8126869,1
"Poor service
Unprofessional staff  ???Â· ??",HONDA Point,0.0,51,0.192164,0
"Have a poor experience with them. They have to issue me a cheque since last 1 year. And they say that it is honda atlas domain. No o e is ready to help. Poor after after sales services.
Still same comments.",HONDA Point,0.0,52,0.3071927,0
Improved services and cooperative staff,HONDA Point,1.0,53,0.30539274,0
Good services & staff very cooperative,HONDA Point,1.0,54,0.8977973,1
Good service,HONDA Point,1.0,57,0.95621544,1
Good services but a little expensive.,HONDA Point,1.0,58,0.53527516,1
They provide good after sale services...,HONDA Point,1.0,59,0.94892234,1
They provide good sevices,HONDA Point,1.0,60,0.95177686,1
"All were fine except one guy who was rude with his own colleague.

Regards,
Daniyal Hussain",HONDA Point,1.0,63,0.7667636,1
Didn't feel welcomed at all. No one get bothered to ask if I want to get the details on their new cars. Then we eventually ask one person and he helped us like it was one of ther hardest jobs he was doing. Usually salesman at dealership are welcome and active.,HONDA Point,0.0,64,0.3582821,0
Just okay service.,HONDA Point,0.0,65,0.907121,1
Normally they provide okay services. But one time they installed defective product and I had to waste my time arguing with the management to get a refund.,HONDA Point,0.0,66,0.4006086,0
"I?? new to town and went to this place for periodic maintenance of my car.. because of the pathetic and unprofessional attitude of their staff who receive cars in the service section, I immediately left and went to another Honda dealership..",HONDA Point,0.0,67,0.22588798,0
It's always a good experience,HONDA Point,1.0,68,0.94911265,1
"Nice place ample of parking, staff is energetic, helpful but they don't have good Choice of a car for sale, heavy own, Honda city delivery after five months on booking.",HONDA Point,1.0,69,0.8308299,1
Poor Service...Miscommitments,HONDA Point,0.0,70,0.19614385,0
Very good staff,HONDA Point,1.0,71,0.97366947,1
Great experience,HONDA Point,1.0,72,0.96826047,1
Parts are not available,HONDA Point,0.0,74,0.2320199,0
This is the best Honda sale point of lahore..!,HONDA Point,1.0,75,0.96068865,1
Good service,HONDA Point,1.0,76,0.95621544,1
Expensive and late service,HONDA Point,0.0,77,0.20079306,0
Nice infrastructure,HONDA Point,1.0,78,0.95704013,1
Efficient service and very cooperative Staff,HONDA Point,1.0,79,0.6705017,1
Excellent point to maintain your honda,HONDA Point,1.0,80,0.978364,1
Never book car with them. Worst experience ever.,HONDA Point,0.0,81,0.099617526,0
"As compare to Toyota Airport they are very unprofessional.
Staff is always willing for tip.",HONDA Point,0.0,83,0.586302,1
Excellent service experience,HONDA Point,1.0,84,0.98028225,1
Staff isn't corporated. Poor managment,HONDA Point,0.0,85,0.18659018,0
Friendly staff and good service,HONDA Point,1.0,86,0.93159384,1
"The upper management is often misleading there, and doesn't cooperate often. If there is a lot of cars, expect to be waiting around an hour or so. Otherwise, I usually go here for my car's regular checkup and maintenance. The staff and crew are usually the ones that are really helpful.",HONDA Point,0.0,87,0.31659007,0
Don't give a proper response. The way it should be. Doing to much black marketing in Cars. Every showroom of 3S do this .,HONDA Point,0.0,88,0.2907372,0
poor service,HONDA Point,0.0,89,0.19644181,0
Good service,HONDA Point,1.0,90,0.95621544,1
cheap management. cheap service.,HONDA Point,0.0,91,0.9040306,1
"Worst honda dealer in Lahore. I made a huge mistake of booking from there just because it's close to my home. To any prospective bookers, book from any honda dealer besides honda point, I've faced nothing but issues there. All employees are also junior employees with no authority to properly resolve issues. Their owner is never there to solve any issues. Their salesmen are complete idiots. Due to their lack of intelligence, I still haven't received my honda city even though I booked on the first day of bookings opening.",HONDA Point,0.0,92,0.23188326,0
Looks good but staff and customer care needs improvement,HONDA Point,1.0,93,0.9398174,1
Bad service,HONDA Point,0.0,95,0.13493465,0
Surprised to see the corporate section is very cooperative and friendly,HONDA Point,1.0,96,0.6429632,1
Excellent and wonderful,HONDA Point,1.0,98,0.9806799,1
Well designed set up,HONDA Point,1.0,99,0.31288993,0
"Honda Cars Customer Service center, provides all types of maintenance facilities.",HONDA Point,1.0,100,0.2625969,0
Good quality of work but Commitment of time is weak. Agreed on 5days but taken 16days on that work. Staff is cooperative and friendly.,HONDA Point,0.0,101,0.6241935,1
"HONDA POINT PVT. LIMITED, SINCE 2006

An authorized 3S Dealer of Honda Atlas Cars (Pakistan) Ltd. in Lahore, Pakistan

We have been aggressively engaged in the auto business and have been awarded various awards over the years. Our partnership with Honda Atlas Cars (Pakistan) Limited is driven by a genuine belief and desire to optimize customer care and cater for the automotive needs of its customers.
The Sales & Marketing department is run by some very experienced sales staff and supported by the latest software. Furthermore, separate staff has been dedicated to cater for corporate needs.
We are equipped with the most technologically advanced, state of the art machinery in the automotive industry and our Parts Department carries only genuine Honda parts. With the assistance of the latest computer analyzing system our trained technicians are focused on maintaining / repairing the customers vehicles at the earliest convenience. Being a service oriented company our main focus is on customer satisfaction and we go to any extent to satisfy them.
Moreover, we give much emphasis on staff training and Honda Atlas Cars (Pakistan) Limited offers comprehensive training facilities to all technicians. Hence the phrase, ""no one knows your Honda better than your Honda Dealer!""",HONDA Point,,102,0.22696042,0
"Worst service - Do not ever go here and NEVER EVER Leave your car overnight here. You can only utilise them for basic services like Oil change or oil filter change..

They messed up my car (honda civic reborn) steering and fixed it only temporarily while charging 20k+ for it. While car was with them overnight, they must have hit it from bottom somehow (may be dropped from ramp or they took it outside) because the next day the silencer was tilted towards left. They didn?? admit their fault. When I took my car to Walton to see if this can be fixed, they told me your car has been hit from the bottom with large force otherwise this never tilts.",HONDA Point,0.0,103,0.22749811,0
"Good place to service your Honda cars. They have all the services... repairs, service, spare parts, painting etc.",HONDA Point,1.0,106,0.9265772,1
Great staff,HONDA Point,1.0,107,0.96735865,1
I've always been satisfied with their service. My brother and I both own a Honda and have always gone here. Their bodywork guy/denter is amazing.,HONDA Point,1.0,109,0.89317054,1
Its a honda service center,HONDA Point,1.0,110,0.26530173,0
Lazy staff and very technical service issues like air compressor is out of order and printer is out of order in body and paint shop.,HONDA Point,1.0,111,0.31980732,0
"Good place
Mr Mirza in Sales adept is really helpful n cooperative",HONDA Point,1.0,112,0.91082305,1
Honda point airport road per Honda civic ki service kerwai engenir bilal se bilal is very co operative boy and have huge knowledge for all Honda cars variant... Allah Pak bless him,HONDA Point,1.0,113,0.7202895,1
Poor customer services! Highly expensive spare parts.,HONDA Point,0.0,114,0.18252935,0
Services was not good staff was not cooperative lack of technical skill. They are treating like local mechanic,HONDA Point,0.0,115,0.27000716,0
No body is interested to deal the customer. The behavior of staff is poor.,HONDA Point,0.0,117,0.2855533,0
Prices of services were too High,HONDA Point,0.0,118,0.68745285,1
Good service,HONDA Point,1.0,119,0.95621544,1
Booked my car let's see there services next,HONDA Point,,120,0.2958313,0
New honda city launched,HONDA Point,,122,0.686012,1
Very expensive and they always asks customers to get parts replaced instead of solving the issues.,HONDA Point,0.0,123,0.15720363,0
Co operative staff. Good services,HONDA Point,1.0,124,0.95229393,1
Honda services centre,HONDA Point,,125,0.31827953,0
Fantastic but little bit traffic,HONDA Point,1.0,127,0.7628046,1
Nice show room,HONDA Point,1.0,128,0.95604414,1
Poor after sales service!,HONDA Point,0.0,129,0.19290978,0
After sale service is poor. Staff treat us as we are in typical government office. Lack of ownership and rude behaviour. Sales staff is ok but after sales service is pathetic.,HONDA Point,0.0,130,0.27730533,0
Pathetic booking staff. Simply liars. They don't value commitment and customer support. Bunch of third rated class. Government is helping them to loot people.,HONDA Point,0.0,132,0.30820101,0
"All payments made , delivery is late in months.
Dirty and irritating behaviour of Honda booking and marketing staff.
No follow up, simply liars .",HONDA Point,0.0,133,0.21098559,0
Assallamualaikum.wr bhai is showroom ka contact no kisi k pass tu de dain jo no inhon ne dia hai net per wo band hai .,HONDA Point,0.0,134,0.29282007,0
"Ofcourse its company operated, so the services are  good. But still a big room for improvement. E.g. One feel helpless even he/she went for simple oil change. Allotment of pits should be at the initial point. Changes in price must be informed through text. They do send alot of messages regarding their marketing, but change in price of products is never part of it. They charge money on cashless transactions, which is a bad thing. Honda is generating huge profits, it should promote cashless transactions and waive off charges on card payments.",HONDA Point,0.0,135,0.28876394,0
Good People & Good Place,HONDA Point,1.0,136,0.95873344,1
Too crowded,HONDA Point,0.0,138,0.3118929,0
Need to improve customer service,HONDA Point,,139,0.2872476,0
A bit slow service but still satisfies customers.,HONDA Point,,140,0.20208739,0
service is pathetic especially when you deal with paint and body department....staff is always handy....lack of commitment....overall experience not upto the mark,HONDA Point,,141,0.29392797,0
Worst service. I strongly recommend not to book any car from honda. Pathetic experience.,HONDA Point,,142,0.18895723,0
Generally the staff is good however the process of job cards needs a major overhaul. they still fill the job cards manually even when they have all the information in their software. The tasks that takes 5 minutes could be literally be done under 1 minute.,HONDA Point,,143,0.49579576,0
Third class service. Staff is so rude. Sales and customer service both struggle. They sell cars anyway that's y no need to bother wiyh quality.,HONDA Point,,144,0.26706648,0
Expert mechanics on one place for all solutions,HONDA Point,,145,0.2877671,0
Good place !,HONDA Point,,147,0.95682853,1
"I m regular customer of Honda point.
Purchase 2nd time new vehicle.
The workshop is very good.. Customer area is cool.
Good place.
Thank you",HONDA Point,,148,0.83971196,1
Pathetic service and staff thiefs,HONDA Point,,149,0.09893889,0
Good service. Peace of mind for the people who care less and wish to leave their cars to the professionals,HONDA Point,,150,0.6170399,1
All is well,HONDA Point,,151,0.31636947,0
The number given here is going off.,HONDA Point,,152,0.2928032,0
Just like an ordinary workshop. Selling fake parts in the name of genuine. Too much expensive. Stay away,HONDA Point,,153,0.23680028,0
Good customer service,HONDA Point,,154,0.9544023,1
Quick and efficient service for oil change.,HONDA Point,,155,0.84802216,1
Selling point of Honda Vehicles produced in Pakistan,HONDA Point,,156,0.30514634,0
Standard 3S showroom,HONDA Point,,157,0.31340155,0
Tried to contact Honda Point Lahore to seek some information. Dialled every number on their Google list. No response. Not expected.,HONDA Point,,158,0.3184002,0
Staff is not good and they do not commit any delivery time of car to customers.... customer services is not good!!,HONDA Point,,159,0.21524793,0
Normal dealing,HONDA Point,,161,0.8086823,1
Not a very cooperative staff,HONDA Point,,163,0.27810678,0
The always miscommit...please take care before going to this workshop had a bad experience in terms of commitment,HONDA Point,,165,0.13713112,0
Good place and worth it,HONDA Point,,166,0.89171743,1
Good but too expensive,HONDA Point,,167,0.7262331,1
"Service is poor
Thats why 4.",HONDA Point,,168,0.19261141,0
Awesome hr handling,HONDA Point,,170,0.97680116,1
Achi jaga ha Bhai g,HONDA Point,,172,0.2965896,0
Sameer Bai zanda bad,HONDA Point,,173,0.13254116,0
The prices are on higher side and the work they do is satisfactory.,HONDA Point,,174,0.7234354,1
Good customer service..,HONDA Point,,175,0.9544023,1
"Request to All,
Wrost experience & don't do any business with them.",HONDA Point,,176,0.2662953,0
Excellent but very expensive,HONDA Point,,177,0.8759333,1
Poor services of service advisor they dont entertain any vehicle at entrance customers feel like football to complete their vehicle work,HONDA Point,,179,0.28288832,0
"Unprofessional and uncooperative staff, make sure your aftermarket parts aren't missing and after using services inspect your car thoroughly before leaving as they won't cooperate one bit after you leave the showroom",HONDA Point,,180,0.39716965,0
"Only showroom, but service is poor",HONDA Point,,181,0.33918682,0
"Good quick service: Honda city 2017 model they charged 600 rupees for checking the car with computer. 10,000 to 12,000 rupees for general tuning at 40 thousand KM etc) rates are from Nov 2020",HONDA Point,,182,0.64650255,1
The weakest service in Lahore.,HONDA Point,,183,0.3050247,0
Things at Honda Point are systematic n in orderly manner.,HONDA Point,,184,0.2855962,0
Nice thumbs up,HONDA Point,,185,0.95575124,1
Technical staff is well trained and equipped with right tolls,HONDA Point,,187,0.56305176,1
Legends ?Â· ??,HONDA Point,,188,0.32244715,0
Not worth it. Way too expensive,HONDA Point,,189,0.19341482,0
Good service for Honda customers but all such company maintenance units charge much higher than open market.,HONDA Point,,190,0.66487426,1
Lazy and sluggish people.,HONDA Point,,191,0.3993572,0
Poor customer services,HONDA Point,,193,0.19528621,0
"Expensive because of GST 16 %.
I recommend buy oil and filter and replace from outside vendor.",HONDA Point,,194,0.22882625,0
"Over charge
Prices to much high",HONDA Point,,195,0.6303713,1
No AC for visitors in waiting area.  Poor people,HONDA Point,,196,0.1887003,0
Price is high of every product even labour charges,HONDA Point,,197,0.62244225,1
I don't like it,HONDA Point,,198,0.28718466,0
They use commercial generator and are a nuisance to the neighbors and dump their waste water onto the adjacent plots creating pollution.,HONDA Point,,200,0.2555254,0
It was great experience. Quite helpful and hustle free environment.,HONDA Point,,201,0.9449851,1
Good service. Quite expensive though,HONDA Point,,202,0.7279057,1
Good service,HONDA Point,,203,0.95621544,1
"Located on main Airport road, Honda point is an excellent sales point. The hall is air-conditioned and hosts cars like City, Civic and BRV models. Sales staff very cooperative and provide all needed information. One feels satisfied when leaving it.",HONDA Point,,204,0.6630373,1
honda center,HONDA Point,,205,0.27583858,0
Time consuming place,HONDA Point,,206,0.3132893,0
Staff is nice and caring but the location is overloaded. Entrance and exit is the same so congestion is obvious. Try to reach at 9.,HONDA Point,,207,0.49575683,0
Good professional people.,HONDA Point,,208,0.8604062,1
Car wash service is worse...,HONDA Point,,210,0.19925058,0
Neat and clean place.A good handling of customers,HONDA Point,,211,0.9361072,1
Irresponsible behavior of staff,HONDA Point,,212,0.30200502,0
Very bad  service of management.....,HONDA Point,,213,0.107376374,0
good service,HONDA Point,,215,0.95621544,1
Poor service and experience. They are just sitting there to make money. It is better to go to a good mechanic for overall tuning of the car. Poor experience.,HONDA Point,,216,0.39403784,0
"These days too much hot and humid, there should be proper air exhust, there is exhust fans but not working. Fans are  just symbol only as these are in the area where no one stand it must be in working area. How technicians will perform when there will be too much hot and humid
Technicians are not wearing gloves or other protective thing when they sit inside cars, usually their hands and dress are oily and when they touch or sit inside cars make it dirty",HONDA Point,,217,0.27100402,0
These are professional fraudulent. They take money and starts miss commitment. I am living in DHA lahore.beware from them.,HONDA Point,,218,0.31974727,0
Efficient service,HONDA Point,,219,0.32022846,0
Good service,HONDA Point,,220,0.95621544,1
Good place for repair and maintenance,HONDA Point,,221,0.95426,1
"Beautiful cars, efficient girls sitting on the front desk but extremely sloppy service. No one wears a mask or wears it only on the mouth and not on the nose.
The service used to be excellent but has deteriorated massively. Do not feel like going there again.",HONDA Point,,222,0.5363978,1
Very poor experience. Lack of competence and service orientation. No control on inventory. Wasted 3 hr.,HONDA Point,,223,0.2063505,0
Worst experience,HONDA Point,,224,0.09781056,0
Poor service,HONDA Point,,225,0.19644181,0
Service and standards are so so.,HONDA Point,,226,0.29927757,0
Good expert at one place,HONDA Point,,227,0.9474397,1
Honda is not responding on promo they promised on sale of honda city,HONDA Point,,228,0.26726413,0
Fast delivery .. overall of after sales experience,HONDA Point,,229,0.52503484,1
A lot need to be done in terms of customer handling .technical staff was good,HONDA Point,,230,0.6861826,1
Ma yahan 2008 say ab tak 2020 regular client hun .... Wheel Alignment k ilawa baqi mechanical work bohot asha hai.,HONDA Point,,231,0.29083854,0
Good one in all Honda points in lahore,HONDA Point,,233,0.9465551,1
Useful and friendly,HONDA Point,,234,0.77025163,1
Mere mismanagement. Toyota Airport is much better.,HONDA Point,,236,0.4084195,0
