wiI7pd,dealership,Unnamed: 1,Unnamed: 2,predicted_sentiment,confidence
Ac mechanic both were absent. Waste of time,HONDA Fort,,,Negative,0.5109592678022723
Honda fort queens road Lahore,HONDA Fort,,,Negative,0.5109592678022723
Visited Honda Fort many times. Bought couple of cars from there. Good and fast service. All the services available on all floors. Honda's genuine products only used. Staff's behavior is pretty good and highly coordinative. If you want your Honda's complete checkup under one roof then do visit Honda Fort.,HONDA Fort,,,Positive,0.604102330503561
Very poor,HONDA Fort,,,,
"Exquisite service and support! Labour costs are a little higher in comparison with other workshops. Besides, their staff are highly skilled and embraced with technical know-how. If you own a vehicle manufactured by Honda, then this would be the right place for regular maintenance.",HONDA Fort,,,Negative,0.5113101318982131
Good crocker â?¦,HONDA Fort,,,Positive,0.5605095530746993
Not Competent enough to diagnose complex problems with Turbo,HONDA Fort,,,Negative,0.5109592678022723
I visit here thay are provided good ð?? services â?¦,HONDA Fort,,,Positive,0.5605095530746993
This was excellent place,HONDA Fort,,,Positive,0.5605095530746993
"Today on 16th May 2023 i visited Honda Fort Lahore First time for Maintenance of Honda Civic.
Feed back for Work on Car will be given latter after one day. â?¦",HONDA Fort,,,Negative,0.5109592678022723
"Good maintenance, service and repair facilities available. Also, new cars sold here.",HONDA Fort,,,Positive,0.558485538257406
Very bad ð??? â?¦,HONDA Fort,,,Negative,0.5791296396742487
"Best for periodic maintenance and parts. I have tried multiple 3s facilities of Honda in Sialkot, Lahore and Gujranwala - Honda Fort is by far the best. Parts quality is good. Prices are a little bit high.",HONDA Fort,,,Positive,0.6046662808193761
Good ð?? â?¦,HONDA Fort,,,Positive,0.5605095530746993
Honda stro â?¦,HONDA Fort,,,Negative,0.5109592678022723
Good,HONDA Fort,,,,
The staff was incredibly helpful during my recent visit. They were knowledgeable. I truly appreciated their level of service and it made my experience all the more enjoyable,HONDA Fort,,,Positive,0.558485538257406
Very Expensive ð???ð?¼ â?¦,HONDA Fort,,,Negative,0.5791296396742487
AC â?_â?à¹ï¸¿à¹â??_â??â?_â?$_$â??_â??$_$â?_â?iyajdiffiififfoedijijjcfofjsididjdiduxjchjcifdikdufudidjdidjisjdodiddkididi,HONDA Fort,,,Negative,0.5109592678022723
Very expansive,HONDA Fort,,,Negative,0.5109592678022723
Good,HONDA Fort,,,,
Good,HONDA Fort,,,,
To Expensive,HONDA Fort,,,Negative,0.5791296396742487
Nice,HONDA Fort,,,,
Good Services,HONDA Fort,,,Positive,0.5605095530746993
Good,HONDA Fort,,,,
Very good service indeed.,HONDA Fort,,,Positive,0.5881235813232714
Very expensive .,HONDA Fort,,,Negative,0.5791296396742487
Good service nice staff,HONDA Fort,,,Positive,0.5881235813232714
Better servicies,HONDA Fort,,,Negative,0.5109592678022723
Great experience,HONDA Fort,,,Positive,0.5605095530746993
Services are very good but hell expensive i mean fazool mai hi itna expensive where you can ask for the services of 10k here you have to spend 30 to 40k i mean dimag thek hai,HONDA Fort,,,Negative,0.5403489879004031
Very Good Service,HONDA Fort,,,Positive,0.5881235813232714
Very bad experience two much expensive and use less service,HONDA Fort,,,Negative,0.6054037653776139
Solution of all problems related to your Honda car are available under single roof!,HONDA Fort,,,Negative,0.5109592678022723
Nice place,HONDA Fort,,,,
Good service,HONDA Fort,,,Positive,0.5881235813232714
Nice work,HONDA Fort,,,,
Best services with experienced staff,HONDA Fort,,,Positive,0.5605095530746993
Over all nice and cooperative,HONDA Fort,,,Negative,0.5109592678022723
bakwas service am never go again thi stupid honda fort very poor service,HONDA Fort,,,Negative,0.6018431542373641
Goood hospital.for honda caaaars... ..,HONDA Fort,,,Negative,0.5109592678022723
CARS gone mad every month price going to double,HONDA Fort,,,Negative,0.5109592678022723
Lovely place,HONDA Fort,,,Negative,0.5109592678022723
Good ð??? â?¦,HONDA Fort,,,Positive,0.5605095530746993
Good,HONDA Fort,,,,
Good people nice reception,HONDA Fort,,,Positive,0.5605095530746993
"Excellent service and nice cooperative staff. I like it very much. Keep in touch
Always a favourite for a healthy car.",HONDA Fort,,,Positive,0.5881235813232714
Pathetic staff,HONDA Fort,,,Negative,0.5791296396742487
It was first and good experience,HONDA Fort,,,Positive,0.5605095530746993
Its Good,HONDA Fort,,,,
It was Good experience,HONDA Fort,,,Positive,0.5605095530746993
Honda official dealer,HONDA Fort,,,Negative,0.5109592678022723
Great service.,HONDA Fort,,,Positive,0.5881235813232714
Staff is good cooperative expert and experienced,HONDA Fort,,,Positive,0.5605095530746993
Owners and the complete staff are very much cooperative as well as experienced professionals,HONDA Fort,,,Negative,0.5109592678022723
"Was there on Launch of Honda HRV
Nice looking SUV but with limited options",HONDA Fort,,,Negative,0.5109592678022723
Excellent service ð?? â?¦,HONDA Fort,,,Positive,0.5881235813232714
Bikes mill jati hn Any time. 70 aor 125,HONDA Fort,,,Negative,0.5109592678022723
Not crowded place,HONDA Fort,,,Negative,0.5109592678022723
Take my new car city,HONDA Fort,,,Negative,0.5109592678022723
Amazing,HONDA Fort,,,,
"Near ganga ram hospital and abid market
Queens road lahore punjab pakistan",HONDA Fort,,,Negative,0.5109592678022723
Not enough parking space available. Very limited cars on display and proper information is not given. Sales staff is courteous but lack information,HONDA Fort,,,Negative,0.5109592678022723
This Honda show room after sales service center.,HONDA Fort,,,Negative,0.5113101318982131
Mr. Ali Raza your dealing is really good.,HONDA Fort,,,Positive,0.5605095530746993
"Excellent car maintenance service. I was having mixture setting problem with my car, only Honda Fort was able to fix it and they didn't even charged me any fee.",HONDA Fort,,,Negative,0.5089763875056554
Cooperative staff ð??ð?¼ â?¦,HONDA Fort,,,Negative,0.5109592678022723
Work shop management is so week to control workers,HONDA Fort,,,Negative,0.5109592678022723
Nice workshop,HONDA Fort,,,Negative,0.5109592678022723
Nice Experience but costly (not only service but parts too).... recently cost have really soared for oil changes even. Warranty recalls are also difficult to get approved. Still one of the best Honda dealership in town,HONDA Fort,,,Positive,0.558485538257406
No one attended the fault. Finally I left without getting my car checked,HONDA Fort,,,Negative,0.5109592678022723
Excellent after sales and services,HONDA Fort,,,Positive,0.5605095530746993
Service is slightly slow,HONDA Fort,,,Negative,0.5773647462757812
Very congested place,HONDA Fort,,,Negative,0.5109592678022723
"Might be the best place to buy new Honda cars but the worst place to get service / maintenance. Seems like they are living 30 years back. Ground floor staff has no information about the available service pits on each floor, no centralized â?¦",HONDA Fort,,,Negative,0.5091106186180316
"Excellent service, excellent customer care, excellent atmosphere and excellent services! Highly expert and skilled team. A place worth-visiting!",HONDA Fort,,,Positive,0.5753267997168182
A very nice honda Showroom in the center of lahore. Equiped with all necessary tools from sales to repair. The staff is cooperative. Love to buy a new car ð??? from here. â?¦,HONDA Fort,,,Positive,0.5605095530746993
Very much good experience with them,HONDA Fort,,,Positive,0.5605095530746993
Very expensive.,HONDA Fort,,,Negative,0.5791296396742487
Bad service,HONDA Fort,,,Negative,0.6054037653776139
"Very expensive, need more place, staff not much cooperative so so.",HONDA Fort,,,Negative,0.5791296396742487
Experience was very good. Very professional staff.,HONDA Fort,,,Positive,0.5895584692427674
"Too much costly. Recently civic 2017 oil, and Air filter changed from honda and it will Cost 10kð??¬ â?¦",HONDA Fort,,,Negative,0.5109592678022723
Good,HONDA Fort,,,,
Very polite & helpful staff!!,HONDA Fort,,,Positive,0.5605095530746993
Went for my civic,HONDA Fort,,,Negative,0.5109592678022723
Cooperative Staff. Nice place to purchase Honda products.,HONDA Fort,,,Negative,0.5109592678022723
Excellent customer service...,HONDA Fort,,,Positive,0.558485538257406
Good servise,HONDA Fort,,,Positive,0.5605095530746993
Nice staff. Best services,HONDA Fort,,,Positive,0.5605095530746993
Good place,HONDA Fort,,,,
Quality but over pricing,HONDA Fort,,,Positive,0.5605095530746993
Very good service,HONDA Fort,,,Positive,0.5881235813232714
Seamless delivery of CIVIC,HONDA Fort,,,Negative,0.5109592678022723
Recommended,HONDA Fort,,,Negative,0.5109592678022723
Excellent,HONDA Fort,,,,
Good,HONDA Fort,,,,
ð??? â?¦,HONDA Fort,,,,
Looters,HONDA Fort,,,,
Very Expensive,HONDA Fort,,,Negative,0.5791296396742487
Bad service,HONDA Fort,,,Negative,0.6054037653776139
Service is very poor,HONDA Fort,,,Negative,0.5773647462757812
"Well experienced staff and quality work, both at same place",HONDA Fort,,,Positive,0.5605095530746993
"Very Good, customer oriented dealer",HONDA Fort,,,Positive,0.5605095530746993
Good dealership for purchasing cars. But workshop side is very small.,HONDA Fort,,,Positive,0.5605095530746993
Nice place ð?¤¤ â?¦,HONDA Fort,,,Negative,0.5109592678022723
"Good after sale services provider.
But old model most of spares are not available.",HONDA Fort,,,Positive,0.5605095530746993
"I came here for oil change
My bill was 8000 totally acceptable
But the staff was totally unprofessional. â?¦",HONDA Fort,,,Negative,0.5109592678022723
Too occupied,HONDA Fort,,,Negative,0.5109592678022723
Number One Dealership For Honda cars in Lahore.Workshop is highly recommended,HONDA Fort,,,Negative,0.5109592678022723
ð??¯ Percent satisfaction with their Job â?¦,HONDA Fort,,,Negative,0.5109592678022723
Service department,HONDA Fort,,,Negative,0.5113101318982131
"Honda Forte has been the place to take the family Honda cars for a very long time. New cars aside...The 2000 Civic is still maintained by Honda Forte!
Their service has not only helped keep the cars engine maintained but also â?¦",HONDA Fort,,,Negative,0.5113101318982131
Great ambiance 3S Honda Dealership Lahore,HONDA Fort,,,Positive,0.5605095530746993
Good for honda cars work-mechanical-denting-painting.etc etc honda parts are also available here.,HONDA Fort,,,Positive,0.5605095530746993
Good service,HONDA Fort,,,Positive,0.5881235813232714
Honda Fort at Queen's Road is one of the more reputable showrooms of Honda in Lahore. I have always had good experience with them wether it is buying a car or fixing it. I feel they have really experienced mechanics in their showroom and my car is in safe hands.,HONDA Fort,,,Positive,0.5605095530746993
Good work and good people,HONDA Fort,,,Positive,0.5605095530746993
Loved it,HONDA Fort,,,,
